#,well_id,date,source,start depth (cm),stop depth (cm),start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes
,E1N,6/20/2018,black spiral p16,63.5,73.66,25,29,,,GR,,,,,"60 mm gravels, rounded to sub-angular"
,,,,,,,,,,,,,,,
12,KWR-1,6/20/2018,black spiral p17,0,10.16,0,4,,fibrous,clay loam,wet,"M/F-VF, C/C",dark brown,,
,KWR-1,6/20/2018,black spiral p17,10.16,25.4,4,10,,,clay loam,wet,"M/C, M/F-F/F",dark brown,,
,KWR-1,6/20/2018,black spiral p17,25.4,63.5,10,25,,,clay loam,saturated,"C/C, F/VC",brown,,
,KWR-1,6/20/2018,black spiral p17,63.5,81.28,25,32,,,"sandy clay loam, GR",saturated,C/F-VF,brown,,"mostly pebbles, a few gravels > 11 mm"
,KWR-1,6/20/2018,black spiral p17,81.28,83.82,32,33,,,GR,saturated,,,,bottom of well
,,,,,,,,,,,,,,,
14,KHF-1,6/30/2018,black spiral p19,0,5.08,0,2,,HO,HO,dry,"M/M-VF, F/C",brown,,crumbly
,KHF-1,6/30/2018,black spiral p19,5.08,15.24,2,6,,,"silty clay, FGR",dry,C/M-VF,brown,,
,KHF-1,6/30/2018,black spiral p19,15.24,35.56,6,14,,,clay,moist,F/M-F,light brown,,
,KHF-1,6/30/2018,black spiral p19,35.56,57.15,14,22.5,,,"clay loam, FGR, MGR",wet,C/F-VF,tan,,
,KHF-1,6/30/2018,black spiral p19,57.15,71.12,22.5,28,,,"sandy clay, FGR",moist,F/C,tan and orange,,
,KHF-1,6/30/2018,black spiral p19,71.12,84,28,34,,,sandy clay,saturated,"F/VF, F/fibrous",tan and orange,,some chunks of soil dry inside
27,KHF-1,6/29/2021,yellow p55,84,100,,,,,"sandy clay, FGR",wet non-satiated,F/VF,7.5 YR 3/3,,"gravel sub-rounded; deepened well, prior depth 84 cm"
,KHF-1,6/29/2021,yellow p55,100,111,,,,,"sandy clay, VFGR",wet non-satiated,,7.5 YR 3/3,,gravel sub-rounded
,KHF-1,6/29/2021,yellow p55,111,140,,,,,"sandy clay, VFGR",wet non-satiated,F/VF-F,"7.5 YR, 3/4",,gravel subangular
,KHF-1,6/29/2021,yellow p55,140,149,,,,,"clay, XCGR",wet non-satiated,F/VF,"7.5 YR, 3/4",,gravel subangular
,KHF-1,6/29/2021,yellow p55,149,167,,,,,"clay, XCGR",saturated,F/VF,"10 YR, 3/6",,"a few 50-60 mm gravels, subangular"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
15,KEF-1,6/30/2018,black spiral p19,0,5.08,0,2,,"HO, grassy, fibrous",HO,moist,M/C-F,dark brown,,
,KEF-1,6/30/2018,black spiral p19,5.08,27.94,2,11,,,clay,saturated,C/C-F,dark brown,,
,KEF-1,6/30/2018,black spiral p19,27.94,38.1,11,15,,fibrous,"clay, ST",saturated,"F/C, C/F-VF",gray brown,,hit two large stones (ST)
,KEF-1,6/30/2018,black spiral p19,38.1,66.04,15,26,,fibrous,"sandy clay, FGR",saturated,M/F-VF,dark gray,,gravels subangular
,KEF-1,6/30/2018,black spiral p19,66.04,81.28,26,32,,,"sandy clay loam, FGR, CGR",saturated,"F/VF, F/fibrous","gray and tan, mottled orange",,gravels subangular
,,,,,,,,,,,,,,,
16,KWF-1,6/30/2018,black spiral p19,0,20.32,0,8,,"HO, grassy",clay,moist,M/C-F,dark brown,,
