#,well_id,date,source,start depth (cm),stop depth (cm),start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes,field_well_id,meadow_id,plant_type,hydrogeo_zone,texture,sub-class,soil texture code,gravel size,gravel amount
,KHF-1,6/29/21,yellow p55,140.0,149.0,,,,,"clay, XCGR",wet non-satiated,F/VF,"7.5 YR, 3/4",,gravel subangular,KHF-1,Kiln,Mixed Herbaceous,Fan,clay,XCGR,C,,0.0
,KHF-1,6/29/21,yellow p55,149.0,167.0,,,,,"clay, XCGR",saturated,F/VF,"10 YR, 3/6",,"a few 50-60 mm gravels, subangular",KHF-1,Kiln,Mixed Herbaceous,Fan,clay,XCGR,C,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,0.0
15.0,KEF-1,6/30/18,black spiral p19,,,0.0,2.0,,"HO, grassy, fibrous",HO,moist,M/C-F,dark brown,,,KEF-1,Kiln,Sedge,Fan,ho,,,,0.0
,KEF-1,6/30/18,black spiral p19,,,2.0,11.0,,,clay,saturated,C/C-F,dark brown,,,KEF-1,Kiln,Sedge,Fan,clay,,C,,0.0
,KEF-1,6/30/18,black spiral p19,,,11.0,15.0,,fibrous,"clay, ST",saturated,"F/C, C/F-VF",gray brown,,hit two large stones (ST),KEF-1,Kiln,Sedge,Fan,clay,ST,C,,0.0
,KEF-1,6/30/18,black spiral p19,,,15.0,26.0,,fibrous,"sandy clay, FGR",saturated,M/F-VF,dark gray,,gravels subangular,KEF-1,Kiln,Sedge,Fan,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,KEF-1,6/30/18,black spiral p19,,,26.0,32.0,,,"sandy clay loam, FGR, CGR",saturated,"F/VF, F/fibrous","gray and tan, mottled orange",,gravels subangular,KEF-1,Kiln,Sedge,Fan,sandy clay loam,"FGR, CGR",SCL,"(2, 5)","(0.15, 0.35)"
,,,,,,,,,,,,,,,,,,,,,,,,0.0
16.0,KWF-1,6/30/18,black spiral p19,,,0.0,8.0,,"HO, grassy",clay,moist,M/C-F,dark brown,,,KWF-1,Kiln,Willow,Fan,clay,,C,,0.0
,KWF-1,6/30/18,black spiral p19,,,8.0,15.0,,,"sandy clay, FGR",wet,"C/C-F, M/VF",dark brown,,,KWF-1,Kiln,Willow,Fan,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,KWF-1,6/30/18,black spiral p19,,,15.0,26.5,,,"sandy clay loam, FGR, CGR",wet-saturated,C/F-VF,red brown,,,KWF-1,Kiln,Willow,Fan,sandy clay loam,"FGR, CGR",SCL,"(2, 5)","(0.15, 0.35)"
,KWF-1,6/30/18,black spiral p19,,,26.5,33.0,,,"sandy clay, FGR",saturated,,tan,,,KWF-1,Kiln,Willow,Fan,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,KWF-1,6/30/18,black spiral p19,,,33.0,35.0,,,"sandy clay, VGR (M-F)",,,tan,,,KWF-1,Kiln,Willow,Fan,sandy clay,VGR (M-F),SC,,0.0
,KWF-1,6/30/18,black spiral p19,,,35.0,36.0,,,GR,,,,,"loose gravel; bottom of well at 35""",KWF-1,Kiln,Willow,Fan,gr,,,,0.0
,,,,,,,,,,,,,,,,,,,,,,,,0.0
17.0,KHR-1,7/4/19,orange p70,0.0,4.0,,,,HO,HO,moist,"C/VF, F/M, M/F","7.5 YR, 2.5/1; mottled yellow",,,KHR-1,Kiln,Mixed Herbaceous,Riparian,ho,,,,0.0
