#,well_id,date,source,start_depth_cm,stop_depth_cm,start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes,texture,sub-class,soil_texture_code,gravel size,gravel amount,gravel_amount_percent
,EWT-1,5/31/2018,black spiral p8,83.82,91.44,33,36,,,clay,saturated,F/VF,light brown,,"some grit, red-orange oxide",clay,,C,,0,0
,EWT-1,5/31/2018,black spiral p8,91.44,97.79,36,38.5,,,clay loam,saturated,F/F,"light brown, mottled",,"white-red mottling, red-orange oxide",clay loam,,CL,,0,0
,EWT-1,5/31/2018,black spiral p8,97.79,109,38.5,43,,,clay loam,saturated,,light brown,,"backfill with sand to 39"" depth",clay loam,,CL,,0,0
29,EWT-1,7/15/2021,yellow p77,109,120,,,,,sandy clay,moist,F/VF-F,"10 YR, 5/4; orange mottled",,"coarse sand, mottled",sandy clay,,SC,,0,0
,EWT-1,7/15/2021,yellow p77,120,148,,,,,sandy clay,moist,F/VF,"10 YR, 5/4; orange mottled",,"finer sand, mottled",sandy clay,,SC,,0,0
,EWT-1,7/15/2021,yellow p77,148,151,,,,,sandy clay,saturated,F/VF,"10 YR, 5/3",,,sandy clay,,SC,,0,0
,EWT-1,7/15/2021,yellow p77,151,152,,,,,GR,,,,,"hit rock, could not auger beyond it",gr,,GR,"(5, 20)","(0.15, 0.35)",0.35
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
8,KER-1,6/18/2018,black spiral p14,0,5.08,0,2,,HO,silty clay,very moist,"M/VF-F, C/C",dark brown,,,silty clay,,SIC,,0,0
,KER-1,6/18/2018,black spiral p14,5.08,35.56,2,14,,HPM,clay,moist,M/C,dark brown,,"at 14"" found charcoal",clay,,C,,0,0
,KER-1,6/18/2018,black spiral p14,35.56,52.07,14,20.5,,,clay loam,saturated,"C/C, C/F-M/VF",dark brown,,,clay loam,,CL,,0,0
,KER-1,6/18/2018,black spiral p14,52.07,63.5,20.5,25,,fibers,clay loam,saturated,"F/C, C/F-VF",dark brown,,"interlayered with sandy clay loam, charcoal ",clay loam,,CL,,0,0
,KER-1,6/18/2018,black spiral p14,63.5,71.12,25,28,,,"clay, VGR",saturated,VF/F-VF,brown,,coarse sand; pebbles to 12 mm rounded,clay,VGR,C,"(5, 20)","(0.35, 0.6)",0.6
,KER-1,6/18/2018,black spiral p14,71.12,81.28,28,32,,fibers midway,"sandy loam, GR",saturated,"C/F, C/C",brown gray,,"roots especialy midway; pebbles to 22 mm, rounded",sandy loam,GR,SL,"(5, 20)","(0.15, 0.35)",0.35
,KER-1,6/18/2018,black spiral p14,81.28,83.82,32,33,,,GR,saturated,"C/C, C/F-M/VF",brown gray,,"bottom of hole, pebbles and gravel",gr,,GR,"(5, 20)","(0.15, 0.35)",0.35
,,,,,,,,,,,,,,,,,,,,,
9,KWT-1,6/20/2018,black spiral p14,0,12.7,0,5,,fibrous,"hummus, clay, HO",moist,M/C-F,dark brown,,,hummus,HO,C,,0,0
,KWT-1,6/20/2018,black spiral p14,12.7,19.05,5,7.5,,,XST,,,,,extracted big rock,xst,,XST,,0,0
,KWT-1,6/20/2018,black spiral p14,19.05,30.48,7.5,12,,,clay,moist,"M/C-VC, C/F",dark brown,,,clay,,C,,0,0
,KWT-1,6/20/2018,black spiral p14,30.48,44.45,12,17.5,,,silty clay,wet,"C/C, F/F",brown,,,silty clay,,SIC,,0,0
,KWT-1,6/20/2018,black spiral p14,44.45,71.12,17.5,28,,,sandy clay loam,wet-saturated,F/F-VF,tan brown,,"mottled at bottom, decomposed pebbles",sandy clay loam,,SCL,,0,0
,KWT-1,6/20/2018,black spiral p14,71.12,91.44,28,36,,,"sandy clay loam, VGR",saturated,"F/C, F/F",tan pink,,decomposed rock was pink; pebbles to 30 mm,sandy clay loam,VGR,SCL,"(5, 20)","(0.35, 0.6)",0.6
,KWT-1,6/20/2018,black spiral p14,91.44,104.14,36,41,,,GR,saturated,F/F-VF,"tan, mottled",,"decomposed rock was red,orange and gray",gr,,GR,"(5, 20)","(0.15, 0.35)",0.35
,,,,,,,,,,,,,,,,,,,,,
11,E1N,6/20/2018,black spiral p16,0,5.08,0,2,,fibrous,HO,dry-moist,M/C-F,dark brown,,,ho,,O,,0,0
,E1N,6/20/2018,black spiral p16,5.08,15.24,2,6,,,sandy clay,moist,M/C-F,dark brown,,,sandy clay,,SC,,0,0
,E1N,6/20/2018,black spiral p16,15.24,33.02,6,13,,grassy,sandy clay,moist,M/C-F,dark brown,,,sandy clay,,SC,,0,0
,E1N,6/20/2018,black spiral p16,33.02,58.42,13,23,,,"sandy clay loam, VGR",saturated,"C/F-VF, F/C",dark brown,,,sandy clay loam,VGR,SCL,"(5, 20)","(0.35, 0.6)",0.6
,E1N,6/20/2018,black spiral p16,58.42,60.96,23,24,,"fibrous, HO, HPM",silty clay,saturated,M/F-VF,dark brown,,,silty clay,,SIC,,0,0
,E1N,6/20/2018,black spiral p16,60.96,63.5,24,25,,,GR,,,,,22 mm gravels,gr,,,"(5, 20)","(0.15, 0.35)",0.35
,E1N,6/20/2018,black spiral p16,63.5,73.66,25,29,,,GR,,,,,"60 mm gravels, rounded to sub-angular",gr,,,"(5, 20)","(0.35, 0.6)",0.6
,,,,,,,,,,,,,,,,,,,,,
12,KWR-1,6/20/2018,black spiral p17,0,10.16,0,4,,fibrous,clay loam,wet,"M/F-VF, C/C",dark brown,,,clay loam,,CL,,0,0
,KWR-1,6/20/2018,black spiral p17,10.16,25.4,4,10,,,clay loam,wet,"M/C, M/F-F/F",dark brown,,,clay loam,,CL,,0,0
,KWR-1,6/20/2018,black spiral p17,25.4,63.5,10,25,,,clay loam,saturated,"C/C, F/VC",brown,,,clay loam,,CL,,0,0
,KWR-1,6/20/2018,black spiral p17,63.5,81.28,25,32,,,"sandy clay loam, GR",saturated,C/F-VF,brown,,"mostly pebbles, a few gravels > 11 mm",sandy clay loam,GR,SCL,"(5, 20)","(0.15, 0.35)",0.35
,KWR-1,6/20/2018,black spiral p17,81.28,83.82,32,33,,,GR,saturated,,,,bottom of well,gr,,GR,"(5, 20)","(0.15, 0.35)",0.35
,,,,,,,,,,,,,,,,,,,,,
14,KHF-1,6/30/2018,black spiral p19,0,5.08,0,2,,HO,HO,dry,"M/M-VF, F/C",brown,,crumbly,ho,,O,,0,0
,KHF-1,6/30/2018,black spiral p19,5.08,15.24,2,6,,,"silty clay, FGR",dry,C/M-VF,brown,,,silty clay,FGR,SIC,"(2, 5)","(0.15, 0.35)",0.35
,KHF-1,6/30/2018,black spiral p19,15.24,35.56,6,14,,,clay,moist,F/M-F,light brown,,,clay,,C,,0,0
,KHF-1,6/30/2018,black spiral p19,35.56,57.15,14,22.5,,,"clay loam, FGR, MGR",wet,C/F-VF,tan,,,clay loam,"FGR, MGR",CL,"(2, 5)","(0.15, 0.35)",0.35
,KHF-1,6/30/2018,black spiral p19,57.15,71.12,22.5,28,,,"sandy clay, FGR",moist,F/C,tan and orange,,,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)",0.35
,KHF-1,6/30/2018,black spiral p19,71.12,84,28,34,,,sandy clay,saturated,"F/VF, F/fibrous",tan and orange,,some chunks of soil dry inside,sandy clay,,SC,,0,0
