#,well_id,date,source,start depth (cm),stop depth (cm),start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes,field_well_id,well_field_id,rename_reason,rename_date,meadow_id,plant_type,hydrogeo_zone,texture,sub-class,soil texture code,gravel size,gravel amount
,KET-1,7/5/19,orange p70,84,110,,,,,"sandy clay, VGR",wet,F/F-VF,"7.5 YR, 4/3",,,KET-1,,,,Kiln,Sedge,Terrace,sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)"
19,EEF-2,7/5/19,orange p71,0,4,,,O,,HO,moist,"F-VF/M, M/F","10 YR, 2.5/1",,color darker,EET-2,EET-2,HGMZ observations and classification changed,5/25/25,East,Sedge,Fan,ho,,HO,,0
,EEF-2,7/5/19,orange p71,4,10,,,,fibrous,silty clay,moist,"F/VF, M/C","2.5 YR, 2.5/1",,,EET-2,EET-2,HGMZ observations and classification changed,5/25/25,East,Sedge,Fan,silty clay,,SIC,,0
,EEF-2,7/5/19,orange p71,10,45,,,,,"silty clay, FGR",moist,"F/M, C/F","5 YR, 2/3",,pebbles 1-3 mm,EET-2,EET-2,HGMZ observations and classification changed,5/25/25,East,Sedge,Fan,silty clay,FGR,SIC,"(2, 5)","(0.15, 0.35)"
,EEF-2,7/5/19,orange p71,45,70,,,,,"silty clay, FGR",moist,"F/M, F/F","7.5 YR, 3/2",,,EET-2,EET-2,HGMZ observations and classification changed,5/25/25,East,Sedge,Fan,silty clay,FGR,SIC,"(2, 5)","(0.15, 0.35)"
,EEF-2,7/5/19,orange p71,70,89,,,,,"silty clay, FGR",saturated,"F/F, F/M","7.5 YR, 3/4",,,EET-2,EET-2,HGMZ observations and classification changed,5/25/25,East,Sedge,Fan,silty clay,FGR,SIC,"(2, 5)","(0.15, 0.35)"
,EEF-2,7/5/19,orange p71,89,106,,,,fibrous,silty clay,saturated,F/M,"7.5 YR, 3/2",,"redox, mottled",EET-2,EET-2,HGMZ observations and classification changed,5/25/25,East,Sedge,Fan,silty clay,,SIC,,0
,EEF-2,7/5/19,orange p71,106,115,,,,,silty clay,saturated,F/F,"10 YR, 4/2",,"redox, mottled, gleying",EET-2,EET-2,HGMZ observations and classification changed,5/25/25,East,Sedge,Fan,silty clay,,SIC,,0
20,LHT-1,7/6/19,orange p71,0,10,,,O,"peat, fibrous, crumbly",HO,moist,"F-VF/M, M/C","5 YR, 2.5/1",,"peat, fibrous, crumbly",LHT-1,,,,Low,Mixed Herbaceous,Terrace,ho,,HO,,0
,LHT-1,7/6/19,orange p71,10,31,,,A,,silty clay,moist,"VF/C, F/F","5 YR, 2.5/1",,,LHT-1,,,,Low,Mixed Herbaceous,Terrace,silty clay,,SIC,,0
,LHT-1,7/6/19,orange p71,31,48,,,A,,clay,moist,"F/F, F/VF, F/M","5 Y, 2.5/1; mottled red",,fine mottling,LHT-1,,,,Low,Mixed Herbaceous,Terrace,clay,,C,,0
,LHT-1,7/6/19,orange p71,48,54,,,A,,silty clay,saturated,F/F,"7.5 YR, 2.5/2",,,LHT-1,,,,Low,Mixed Herbaceous,Terrace,silty clay,,SIC,,0
,LHT-1,7/6/19,orange p71,54,76,,,E,,"clay, FGR, sticky",saturated,F/F,"10 YR, 4/2; mottled orange",,,LHT-1,,,,Low,Mixed Herbaceous,Terrace,clay,"FGR, sticky",C,"(2, 5)","(0.15, 0.35)"
,LHT-1,7/6/19,orange p71,76,95,,,,,"sandy clay, FGR, GR, sticky",saturated,F/F,"10 YR, 4/3; red-orange sand",,red-orange sand appeared to be breakdown of gravel,LHT-1,,,,Low,Mixed Herbaceous,Terrace,sandy clay,"FGR, GR, sticky",SC,"(2, 5)","(0.15, 0.35)"
,LHT-1,7/6/19,orange p71,95,109,,,,,sandy clay,saturated,F/F,"2.5 Y, 3/3; gley, mottled",,mottled color 5Y 4/1 and 5Y 4/N,LHT-1,,,,Low,Mixed Herbaceous,Terrace,sandy clay,,SC,,0
,LHT-1,7/6/19,orange p71,109,115,,,,fibrous,"sandy clay, GR",saturated,F/F,"5 Y 4/1, gley 1 N/3",,,LHT-1,,,,Low,Mixed Herbaceous,Terrace,sandy clay,GR,SC,"(5, 20)","(0.15, 0.35)"
21,LET-1,7/6/19,orange p73,0,7.5,,,O,crumbly humus,HO,moist,"M/V-VF, F/M","5 YR, 2.5/1",,,LET-1,,,,Low,Sedge,Terrace,ho,,HO,,0
,LET-1,7/6/19,orange p73,7.5,30,,,,,clay,moist,"C/F-VF, F/M","5 YR, 2.5/1",,,LET-1,,,,Low,Sedge,Terrace,clay,,C,,0
,LET-1,7/6/19,orange p73,30,48,,,,,silty clay,moist,"F/M, F/F","5 YR, 2.5/1; fine red-orange mottle",,,LET-1,,,,Low,Sedge,Terrace,silty clay,,SIC,,0
,LET-1,7/6/19,orange p73,48,58,,,,bits of charcoal at 58 cm,silty clay,moist,"F/C, F/M, VF/F","5 YR, 2.5/1; fine red-orange mottle",,,LET-1,,,,Low,Sedge,Terrace,silty clay,,SIC,,0
,LET-1,7/6/19,orange p73,58,67,,,,,silty clay,moist,"F/C, F/M, VF/F","5 YR, 2.5/1; fine red-orange mottle",,,LET-1,,,,Low,Sedge,Terrace,silty clay,,SIC,,0
,LET-1,7/6/19,orange p73,67,93,,,,layer of charcoal at 93 cm,silty clay,saturated,"F/C, M/F","7.5 YR, 2.5/1; mottle",,,LET-1,,,,Low,Sedge,Terrace,silty clay,,SIC,,0
,LET-1,7/6/19,orange p73,93,100,,,,,silty clay,saturated,"F/C, M/F","7.5 YR, 2.5/1; mottle",,,LET-1,,,,Low,Sedge,Terrace,silty clay,,SIC,,0
,LET-1,7/6/19,orange p73,100,110,,,,fibrous,silty clay,saturated,"F/C, M/F","7.5 YR, 3/1; bright red-orange mottle",,,LET-1,,,,Low,Sedge,Terrace,silty clay,,SIC,,0
,LET-1,7/6/19,orange p73,110,116,,,,"fibrous, charcoal bits at 116",sandy clay,saturated,"M/F, VF/C","10 YR, 2/2",,,LET-1,,,,Low,Sedge,Terrace,sandy clay,,SC,,0
,LET-1,7/6/19,orange p73,116,120,,,,fibrous,sandy clay,saturated,"M/F, VF/C","10 YR, 2/2",,,LET-1,,,,Low,Sedge,Terrace,sandy clay,,SC,,0
22,LWT-1,7/6/19,orange p73,0,13,,,O,"earthworm, crumbly humus",HO,moist,M/VF-F,"5 YR, 2.5/1",,,LWT-1,,,,Low,Willow,Terrace,ho,,HO,,0
,LWT-1,7/6/19,orange p73,13,29,,,,,clay,moist,"C/F-VF, F/M ","5 YR, 2.5/1",,,LWT-1,,,,Low,Willow,Terrace,clay,,C,,0
,LWT-1,7/6/19,orange p73,29,55,,,,,silty clay,moist,C/F-VF,"2.5 YR, 3/1; fine mottled",,,LWT-1,,,,Low,Willow,Terrace,silty clay,,SIC,,0
,LWT-1,7/6/19,orange p73,55,82,,,,fibrous,clay,saturated,F/F-VF,"5 YR, 3/1; fine red-orange mottle, black streaks",,,LWT-1,,,,Low,Willow,Terrace,clay,,C,,0
,LWT-1,7/6/19,orange p73,82,100,,,,fibrous,sandy clay,saturated,C/VF-F,"7.5 YR, 2.5/1",,,LWT-1,,,,Low,Willow,Terrace,sandy clay,,SC,,0
,LWT-1,7/6/19,orange p73,100,108,,,,"fibrous, charcoal",sandy clay,saturated,VF/F-M,"10 YR, 2/1",,,LWT-1,,,,Low,Willow,Terrace,sandy clay,,SC,,0
23,EFR-XB3S,8/12/19,orange p106,0,6,,,O,fibrous,HO,dry,"M/VF-M, F/C",,,"soil survey only, 1.5 m downstream of well, no well install",B3S,B3S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,East,Lodgepole Pine,Riparian,ho,,HO,,0
,EFR-XB3S,8/12/19,orange p106,6,12,,,A,HO,clay,dry-moist,"F/M, M/VF-F",,,,B3S,B3S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,East,Lodgepole Pine,Riparian,clay,,C,,0
,EFR-XB3S,8/12/19,orange p106,12,21,,,A,HO,clay,moist,"F/M, M/VF-F",,,,B3S,B3S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,East,Lodgepole Pine,Riparian,clay,,C,,0
,EFR-XB3S,8/12/19,orange p106,21,36,,,A,HO,clay,moist,"C/VF, F/M, F/F",,,,B3S,B3S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,East,Lodgepole Pine,Riparian,clay,,C,,0
,EFR-XB3S,8/12/19,orange p106,36,52,,,,"HO, chunks of dry rhyzomes",clay,saturated,"C/VF, F/M, F/F",,,,B3S,B3S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,East,Lodgepole Pine,Riparian,clay,,C,,0
,EFR-XB3S,8/12/19,orange p106,52,79,,,,"HO, chunks of dry rhyzomes",clay,saturated,"C/VF, F/M, F/F",more organic material than mineral,,,B3S,B3S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,East,Lodgepole Pine,Riparian,clay,,C,,0
,EFR-XB3S,8/12/19,orange p106,79,100,,,,"HO, woody chunks, roots > 2.5 cm",clay,saturated,"C/C, M/VF-M",,,,B3S,B3S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,East,Lodgepole Pine,Riparian,clay,,C,,0
,EFR-XB3S,8/12/19,orange p106,100,112,,,,,"sandy clay, XFGR",saturated,"F/M, C/VF-F",,,,B3S,B3S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,East,Lodgepole Pine,Riparian,sandy clay,XFGR,SC,,0
24,KWF-XE8S,6/6/21,yellow p49,0,12,,,O,"HO, peat, grassy",HO,wet non-satiated,"M/VF-F, F/M, VF/C","10 YR, 2/1",,well replacement,E8S,E8S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Willow,Fan,ho,,HO,,0
,KWF-XE8S,6/6/21,yellow p49,12,25,,,A,HO,clay,wet,"M/VF-F, F/M","5 YR, 2.5/1",,,E8S,E8S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Willow,Fan,clay,,C,,0
,KWF-XE8S,6/6/21,yellow p49,25,41,,,A,,"clay, FGR",wet,"C/VF-F, F/M","7.5 YR, 2.5/1",,,E8S,E8S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Willow,Fan,clay,FGR,C,"(2, 5)","(0.15, 0.35)"
,KWF-XE8S,6/6/21,yellow p49,41,55,,,B,,"clay, VFGR",saturated,"F/F, F/M","7.5 YR, 3/1",,,E8S,E8S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Willow,Fan,clay,VFGR,C,,0
,KWF-XE8S,6/6/21,yellow p49,55,66,,,C,,"clay, VFGR",saturated,F/F,"10 YR, 5/3",,,E8S,E8S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Willow,Fan,clay,VFGR,C,,0
,KWF-XE8S,6/6/21,yellow p49,66,80,,,C,,"sandy clay, XGR",saturated,VF/F,"10 YR, 5/3",,,E8S,E8S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Willow,Fan,sandy clay,XGR,SC,"(5, 20)","(0.6, 0.9)"
,KWF-XE8S,6/6/21,yellow p49,80,90,,,C,,"sand, XGR",saturated,VF/F,"10 YR, 5/3",,,E8S,E8S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Willow,Fan,sand,XGR,S,"(5, 20)","(0.6, 0.9)"
,KWF-XE8S,6/6/21,yellow p49,90,100,,,C,,"sandy clay, FGR",saturated,VF/VF,"10 YR, 4/3",,,E8S,E8S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Willow,Fan,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,KWF-XE8S,6/6/21,yellow p49,100,115,,,C,,"sandy clay, VGR",saturated,,"7.5 YR, 4/3",,,E8S,E8S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Willow,Fan,sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)"
,KWF-XE8S,6/6/21,yellow p49,115,121,,,,,"sand, XGR",saturated,,"7.5 YR, 4/6",,,E8S,E8S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Willow,Fan,sand,XGR,S,"(5, 20)","(0.6, 0.9)"
28,EHF-XA5S,7/15/21,yellow p74,0,12,,,O,fibrous,HO,dry,M/VF-C,,,augured completely new well hole; previous well depth was 114.5 cm; this was deepest of 4 trial holes,EHT-XA5S,EHT-XA5S,HGMZ observations and classification changed,5/25/25,East,Mixed Herbaceous,Fan,ho,,HO,,0
,EHF-XA5S,7/15/21,yellow p74,12,32,,,,,silty clay,dry,"M/VF-F, F/M","7.5 YR, 3/1",,,EHT-XA5S,EHT-XA5S,HGMZ observations and classification changed,5/25/25,East,Mixed Herbaceous,Fan,silty clay,,SIC,,0
,EHF-XA5S,7/15/21,yellow p74,32,42,,,,,silty clay,dry,"M/VF-F, F/M","7.5 YR, 4/1",,,EHT-XA5S,EHT-XA5S,HGMZ observations and classification changed,5/25/25,East,Mixed Herbaceous,Fan,silty clay,,SIC,,0
,EHF-XA5S,7/15/21,yellow p74,42,63,,,,,silty clay,dry,"C/VF-F, F/M","7.5 YR, 4/1",,,EHT-XA5S,EHT-XA5S,HGMZ observations and classification changed,5/25/25,East,Mixed Herbaceous,Fan,silty clay,,SIC,,0
,EHF-XA5S,7/15/21,yellow p74,63,74,,,,,sandy clay,dry,F/VF-M,"7.5 YR, 4/1",,,EHT-XA5S,EHT-XA5S,HGMZ observations and classification changed,5/25/25,East,Mixed Herbaceous,Fan,sandy clay,,SC,,0
,EHF-XA5S,7/15/21,yellow p74,74,85,,,,,sandy clay,moist,VF/VF,"10 YR, 4/1; orange mottled",,,EHT-XA5S,EHT-XA5S,HGMZ observations and classification changed,5/25/25,East,Mixed Herbaceous,Fan,sandy clay,,SC,,0
,EHF-XA5S,7/15/21,yellow p74,85,103,,,,,sandy clay,moist,"VF/M, C/VF-F","10 YR, 3/1; orange mottled",,,EHT-XA5S,EHT-XA5S,HGMZ observations and classification changed,5/25/25,East,Mixed Herbaceous,Fan,sandy clay,,SC,,0
,EHF-XA5S,7/15/21,yellow p74,103,130,,,,fibrous,clay,moist,F/VF,"10 YR, 5/2; orange mottled",,coarse gravel <15%,EHT-XA5S,EHT-XA5S,HGMZ observations and classification changed,5/25/25,East,Mixed Herbaceous,Fan,clay,,C,,0
,EHF-XA5S,7/15/21,yellow p74,130,131,,,,,GR,,,,,unable to auger past rock and gravel,EHT-XA5S,EHT-XA5S,HGMZ observations and classification changed,5/25/25,East,Mixed Herbaceous,Fan,gr,,GR,,0
29,EWF-1,7/15/21,yellow p77,109,120,,,,,sandy clay,moist,F/VF-F,"10 YR, 5/4; orange mottled",,"coarse sand, mottled",EWT-1,EWT-1,HGMZ observations and classification changed,5/25/25,East,Willow,Fan,sandy clay,,SC,,0
,EWF-1,7/15/21,yellow p77,120,148,,,,,sandy clay,moist,F/VF,"10 YR, 5/4; orange mottled",,"finer sand, mottled",EWT-1,EWT-1,HGMZ observations and classification changed,5/25/25,East,Willow,Fan,sandy clay,,SC,,0
,EWF-1,7/15/21,yellow p77,148,151,,,,,sandy clay,saturated,F/VF,"10 YR, 5/3",,,EWT-1,EWT-1,HGMZ observations and classification changed,5/25/25,East,Willow,Fan,sandy clay,,SC,,0
,EWF-1,7/15/21,yellow p77,151,152,,,,,GR,,,,,"hit rock, could not auger beyond it",EWT-1,EWT-1,HGMZ observations and classification changed,5/25/25,East,Willow,Fan,gr,,GR,,0
30,EEF-2,7/15/21,yellow p77,115,128,,,,,sandy clay,moist,C/VF-F,"2.5 Y, 6/2; yellow-orange-green mottled",,,EET-2,EET-2,HGMZ observations and classification changed,5/25/25,East,Sedge,Fan,sandy clay,,SC,,0
,EEF-2,7/15/21,yellow p77,128,130,,,,,GR,moist,,,,thin layer of coarse gravel 28-40 mm,EET-2,EET-2,HGMZ observations and classification changed,5/25/25,East,Sedge,Fan,gr,,GR,,0
,EEF-2,7/15/21,yellow p77,130,135,,,,fibrous,sandy clay,moist,C/M,"2.5 Y, 5/2",,coarse sand,EET-2,EET-2,HGMZ observations and classification changed,5/25/25,East,Sedge,Fan,sandy clay,,SC,,0
,EEF-2,7/15/21,yellow p77,135,136,,,,,GR,,,,,"hit rock(s), cannot auger beyond",EET-2,EET-2,HGMZ observations and classification changed,5/25/25,East,Sedge,Fan,gr,,GR,,0
32,EFT-XA2S,7/16/21,yellow p77,0,17,,,O,,HO,dry,M/VF-C,,,"could not deepen existing well, tried to auger new well",A2S,A2S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,East,Lodgepole Pine,Terrace,ho,,HO,,0
,EFT-XA2S,7/16/21,yellow p77,17,25,,,A,,"clay, VFGR",dry,M/VF-C,"7.5 YR, 2.5/1",,coarse sand to fine gravel; also slightly mucky,A2S,A2S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,East,Lodgepole Pine,Terrace,clay,VFGR,C,,0
,EFT-XA2S,7/16/21,yellow p77,25,45,,,,,"clay, XGR",dry,M/VF-C,,,"hit rocks, could not auger deeper; unclear if abandoned this hole, the previous one was likely deeper",A2S,A2S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,East,Lodgepole Pine,Terrace,clay,XGR,C,"(5, 20)","(0.6, 0.9)"
33,KHT-XE6S,7/16/21,yellow p78,0,13,,,O,humus,HO,dry,M/VF-M,"5 YR, 3/2",,deepened original,E6S,E6S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Mixed Herbaceous,Terrace,ho,,HO,,0
,KHT-XE6S,7/16/21,yellow p78,13,32,,,,HO,"clay loam, FGR",dry-moist,"M/VF-F, C/M","5 YR, 2.5/1",,,E6S,E6S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Mixed Herbaceous,Terrace,clay loam,FGR,CL,"(2, 5)","(0.15, 0.35)"
,KHT-XE6S,7/16/21,yellow p78,32,38,,,,,clay loam,dry,"C/VF, F/F","7.5 YR, 3/2",,fine gravel < 35%,E6S,E6S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Mixed Herbaceous,Terrace,clay loam,,CL,,0
,KHT-XE6S,7/16/21,yellow p78,38,46,,,,,silty clay,dry,F/VF,"7.5 YR, 3/3",,fine gravel < 35%,E6S,E6S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Mixed Herbaceous,Terrace,silty clay,,SIC,,0
,KHT-XE6S,7/16/21,yellow p78,46,60,,,,,"silty clay, FGR",dry,F/VF-F,"7.5 YR, 4/2",,gravel sub-rounded,E6S,E6S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Mixed Herbaceous,Terrace,silty clay,FGR,SIC,"(2, 5)","(0.15, 0.35)"
,KHT-XE6S,7/16/21,yellow p78,60,68,,,,,"sandy clay, VFGR",dry-moist,F/VF-F,"7.5 YR, 5/3",,,E6S,E6S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Mixed Herbaceous,Terrace,sandy clay,VFGR,SC,,0
,KHT-XE6S,7/16/21,yellow p78,68,80,,,,,"sandy clay, VFGR",moist,F/VF-F,"7.5 YR, 5/3",,,E6S,E6S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Mixed Herbaceous,Terrace,sandy clay,VFGR,SC,,0
,KHT-XE6S,7/16/21,yellow p78,80,91,,,,,sandy clay,moist,F/VF-F,"7.5 YR, 5/4; orange mottled",,,E6S,E6S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Mixed Herbaceous,Terrace,sandy clay,,SC,,0
,KHT-XE6S,7/16/21,yellow p78,91,116,,,C,,"clay, FGR",moist,F/VF-F,"7.5 YR, 5/4; orange mottled, purple fragments",,,E6S,E6S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Mixed Herbaceous,Terrace,clay,FGR,C,"(2, 5)","(0.15, 0.35)"
,KHT-XE6S,7/16/21,yellow p78,116,128,,,C,,"clay, VFGR",moist,F/VF-F,"7.5 YR 4/3; red-orange, purple, gray fragments",,,E6S,E6S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Mixed Herbaceous,Terrace,clay,VFGR,C,,0
,KHT-XE6S,7/16/21,yellow p78,128,131,,,C,,"clay, VFGR",moist,F/VF-F,"10 YR 4/2; red, red-orange, purple, gray fragments",,,E6S,E6S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Mixed Herbaceous,Terrace,clay,VFGR,C,,0
,KHT-XE6S,7/16/21,yellow p78,131,147,,,C,fibrous,"clay, VFGR",moist,VF/VF,"10 YR 4/2; red, red-orange, purple, gray fragments",,"a few gravels, 30-40 mm",E6S,E6S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Mixed Herbaceous,Terrace,clay,VFGR,C,,0
,KHT-XE6S,7/16/21,yellow p78,147,154,,,C,fibrous,"sandy clay, XGR",moist,VF/VF,10 YR 4/2; strong orange mottle direct from fragments,,,E6S,E6S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Mixed Herbaceous,Terrace,sandy clay,XGR,SC,"(5, 20)","(0.6, 0.9)"
,KHT-XE6S,7/16/21,yellow p78,154,161,,,,,"sandy clay, VGR",wet,,"7.5 YR, 4/3",,gravel subangular to 40 mm,E6S,E6S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Mixed Herbaceous,Terrace,sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)"
,KHT-XE6S,7/16/21,yellow p78,161,173,,,,,"sandy clay, VGR",wet,VF/VF,"7.5 YR, 4/4",,gravel subangular to 40 mm,E6S,E6S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Mixed Herbaceous,Terrace,sandy clay,VGR,SC,"(5, 20)","(0.35, 0.6)"
,KHT-XE6S,7/16/21,yellow p78,173,182,,,,,"clay, XFGR",saturated,,10 YR 3/6,,iron-stained water,E6S,E6S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Mixed Herbaceous,Terrace,clay,XFGR,C,,0
,KHT-XE6S,7/16/21,yellow p78,182,183,,,,,GR,saturated,,,,"hit rock(s), could not auger beyond them.",E6S,E6S,adapt from Allen-Diaz to HGMZ-PTF scheme,5/1/18,Kiln,Mixed Herbaceous,Terrace,gr,,GR,,0
35,KWF-2,6/11/25,2015-25 Or V3 p60,0,7,,,O,,HO,moist,"M/VF, C/F","2.5 YR, 2.5/1",,"augered at Kiln3 camera, but abandoned due to cobbles at 66 cm, which didn't seem deep enough to support a viable well",KWF-2,,,,Kiln,Willow,Fan,ho,,HO,,0
,KWF-2,6/11/25,2015-25 Or V3 p60,7,14,,,Oa,,silty clay,moist,"M/VF, F/F, VF/C","10 YR, 2/1",,"loose, spongy",KWF-2,,,,Kiln,Willow,Fan,silty clay,,SIC,,0
,KWF-2,6/11/25,2015-25 Or V3 p60,14,27,,,A,,clay,moist,"M/VF, C/F, F/M, VF/C","10 YR, 2/2",,cohesive,KWF-2,,,,Kiln,Willow,Fan,clay,,C,,0
,KWF-2,6/11/25,2015-25 Or V3 p60,27,40,,,A,,clay,moist,"M/VF, C/F","2.5 YR, 2.5/1","concentrations common, 2-5 mm",cohesive,KWF-2,,,,Kiln,Willow,Fan,clay,,C,,0
,KWF-2,6/11/25,2015-25 Or V3 p60,40,51,,,A/B,,"clay, MGR",wet,"M/VF, C/F","2.5 YR, 3/1","concentrations many, 2-5 mm",gravel subangular,KWF-2,,,,Kiln,Willow,Fan,clay,MGR,C,"(5, 20)","(0.15, 0.35)"
,KWF-2,6/11/25,2015-25 Or V3 p60,51,63,,,A/Bg,,"sandy clay, CB",saturated,"M/VF, C/F","2.5 YR, 4/1; gray mottle GLEY1 4/N + 2.5/N",,cobble subangular,KWF-2,,,,Kiln,Willow,Fan,sandy clay,CB,SC,,0
,KWF-2,6/11/25,2015-25 Or V3 p60,63,66,,,,,VCB,saturated,,,,cobble subangular,KWF-2,,,,Kiln,Willow,Fan,vcb,,GR,,0
37,EWT-2,6/12/25,2015-25 Or V3 p64,0,2.5,,,O,thatch,HO,dry,,,,"bunchgrass at top, mislabeled as EWF-1 in field book but name changed to EWT-2",EWT-2,,,,East,Willow,Terrace,ho,,HO,,0
,EWT-2,6/12/25,2015-25 Or V3 p64,2.5,8,,,Oi,fibrous,HO,moist,"M/VF-F, VF/M","5 YR, 3/1",,,EWT-2,,,,East,Willow,Terrace,ho,,HO,,0
,EWT-2,6/12/25,2015-25 Or V3 p64,8,16,,,Oe,fibrous,HO,moist,"M/VF-F, VF/M","5 YR, 3/1",,,EWT-2,,,,East,Willow,Terrace,ho,,HO,,0
,EWT-2,6/12/25,2015-25 Or V3 p64,16,27,,,A,,"sandy clay, MGR",moist,"M/VF-F, F/M","10 YR, 2/1",,gravel subangular,EWT-2,,,,East,Willow,Terrace,sandy clay,MGR,SC,"(5, 20)","(0.15, 0.35)"
,EWT-2,6/12/25,2015-25 Or V3 p64,27,38,,,A/B,,"sandy clay, MGR",moist,C/VF-F,"7.5 YR, 2/1",,"few coarse gravel, subangular",EWT-2,,,,East,Willow,Terrace,sandy clay,MGR,SC,"(5, 20)","(0.15, 0.35)"
,EWT-2,6/12/25,2015-25 Or V3 p64,38,48,,,A/B,,"sandy clay, MGR",moist,C/VF-F,"7.5 YR, 4/1",,"some fine gravel, subangular",EWT-2,,,,East,Willow,Terrace,sandy clay,MGR,SC,"(5, 20)","(0.15, 0.35)"
,EWT-2,6/12/25,2015-25 Or V3 p64,48,69,,,A/B,,"sandy clay, MGR",moist,C/VF-F,"7.5 YR, 4/2",,"gravel sub-rounded, more sand",EWT-2,,,,East,Willow,Terrace,sandy clay,MGR,SC,"(5, 20)","(0.15, 0.35)"
,EWT-2,6/12/25,2015-25 Or V3 p64,69,80,,,B,,"sandy clay, VMGR",wet,C/VF-F,"10 YR, 5/3","concentrations common, 2-5 mm, 10 YR 4/4",gravel sub-rounded,EWT-2,,,,East,Willow,Terrace,sandy clay,VMGR,SC,,0
,EWT-2,6/12/25,2015-25 Or V3 p64,80,98,,,B,,"sandy clay, VFGR, MGR",wet,C/VF-F,"10 YR, 5/3","concentrations common, 2-5 mm, 10 YR 4/4 with some very light, broken down rock","one coarse gravel, all sub-rounded",EWT-2,,,,East,Willow,Terrace,sandy clay,"VFGR, MGR",SC,"(5, 20)","(0.15, 0.35)"
,EWT-2,6/12/25,2015-25 Or V3 p64,98,107,,,B,,"sandy clay, FGR",wet,"M/VF, F/F","10 YR, 4/3","concentrations common, 2-20 mm, 7.5 YR 4/4","very coarse sand to FGR, a few MGR",EWT-2,,,,East,Willow,Terrace,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,EWT-2,6/12/25,2015-25 Or V3 p64,107,123,,,,,"sandy clay, XFGR",saturated,F/VF-F,"10 YR, 4/4; mottled 10 YR 7/6",,"MGR and CGR present, subangular to sub-rounded",EWT-2,,,,East,Willow,Terrace,sandy clay,XFGR,SC,,0
38,KWT-2,6/14/25,2015-25 Or V3 p62,0,6,,,Oi,,HO,,,,,thatch,KWT-2,,,,,,,,,,,
,KWT-2,6/14/25,2015-25 Or V3 p62,6,10,,,Oa,,loam,moist,"F/M-C, M/VF-F","5 YR, 2.5/1",,crumbly,KWT-2,,,,,,,,,,,
,KWT-2,6/14/25,2015-25 Or V3 p62,10,38,,,A,,clay,moist,"M/VF-F, C/M","5 YR, 2.5/1",,,KWT-2,,,,,,,,,,,
