well_id,timestamp,welltop_to_water_cm,water_level_1_cm,water_level_2_cm,water_level_3_cm,water_binary,logger?,meter_id,soil moisture,notes,well_id
EWF-XA2S,6/6/21 8:13,105.2576,105.156,105.156,105.4608,TRUE,FALSE,solinst,,,
EHF-XA3S,6/6/21 8:12,145.4912,145.0848,145.6944,145.6944,TRUE,FALSE,solinst,,,
EHT-XA5S,6/6/21 8:15,117.4496,117.348,117.348,117.6528,TRUE,TRUE,solinst,,,
EET-2,6/6/21 8:16,129.3368,129.2352,129.2352,129.54,TRUE,FALSE,solinst,,,
EFT-XB6S,6/6/21 8:27,59.5376,59.436,59.436,59.7408,TRUE,FALSE,solinst,,,
EWT-1,6/6/21 8:18,149.1488,149.0472,149.0472,149.352,TRUE,TRUE,solinst,,,
EHT-XB5S,6/6/21 8:24,83.6168,83.5152,83.5152,83.82,TRUE,TRUE,solinst,,,
EFF-XB7S,6/6/21 8:30,62.484,62.484,62.484,62.484,TRUE,FALSE,solinst,saturated,,
EEF-1,6/6/21 8:31,97.536,94.488,97.536,100.584,TRUE,FALSE,solinst,saturated,,
EET-1,6/6/21 8:34,109.6264,109.4232,109.728,109.728,TRUE,FALSE,solinst,,,
EET-XB4S,6/6/21 8:38,129.4384,129.54,129.54,129.2352,TRUE,FALSE,solinst,,,
EFR-XB3S,6/6/21 8:39,137.16,137.16,137.16,137.16,TRUE,TRUE,solinst,,,
EFR-XB2S,6/6/21 8:41,142.0368,142.0368,142.0368,142.0368,TRUE,FALSE,solinst,,,
EHR-XB1N,6/6/21 8:43,141.3256,141.1224,141.4272,141.4272,TRUE,TRUE,solinst,,,
EFR-XB2N,6/6/21 8:44,58.1152,58.2168,58.2168,57.912,TRUE,TRUE,solinst,,,
EFR-XB3N,6/6/21 8:45,81.788,81.6864,81.6864,81.9912,TRUE,TRUE,solinst,,,
EWR-XB4N,6/6/21 8:46,78.0288,77.724,78.0288,78.3336,TRUE,FALSE,solinst,,,
LHT-1,6/6/21 9:19,98.1456,98.1456,98.1456,98.1456,TRUE,FALSE,solinst,,mud,
LET-1,6/6/21 9:20,79.9592,79.8576,79.8576,80.1624,TRUE,FALSE,solinst,,,
LWT-1,6/6/21 9:23,95.504,95.4024,95.4024,95.7072,TRUE,FALSE,solinst,,,
EFR-XB1S,6/6/21 8:42,138.5824,137.16,139.2936,139.2936,TRUE,FALSE,solinst,,,
KHT-XD6N,6/20/21 7:14,115.316,115.2144,115.2144,115.5192,TRUE,FALSE,solinst,,,
KER-XD5N,6/20/21 7:12,76.8096,76.8096,76.8096,76.8096,TRUE,TRUE,solinst,,,
KHR-1,6/20/21 7:11,142.748,142.6464,142.6464,142.9512,TRUE,FALSE,solinst,,,
KHR-XD1N,6/20/21 7:11,126.2888,126.1872,126.1872,126.492,TRUE,FALSE,solinst,,,
KER-1,6/20/21 7:07,147.32,147.2184,147.2184,147.5232,TRUE,FALSE,solinst,,near bottom,
KWR-XE1N,6/20/21 7:00,139.192,138.9888,139.2936,139.2936,TRUE,FALSE,solinst,,,
KFR-XE1S,6/20/21 6:58,127.1016,126.7968,127.1016,127.4064,TRUE,FALSE,solinst,,,
KFR-XE2S,6/20/21 6:57,63.7032,63.3984,63.7032,64.008,TRUE,FALSE,solinst,,,
KER-XE3S,6/20/21 6:57,-6.633333333,-6,-6.5,-7.4,TRUE,FALSE,solinst,,,
KHT-XE4S,6/20/21 6:53,131.064,131.064,131.064,131.064,TRUE,FALSE,solinst,,,
KHT-XE5S,6/20/21 6:52,144.5768,144.4752,144.4752,144.78,TRUE,FALSE,solinst,,,
KET-1,6/20/21 6:48,53.0352,53.0352,53.0352,53.0352,TRUE,FALSE,solinst,,,
KHT-XE6S,6/20/21 6:50,121.7168,121.6152,121.6152,121.92,TRUE,FALSE,solinst,,,
KFF-XE8S,6/20/21 6:45,121.92,121.92,121.92,121.92,TRUE,FALSE,solinst,,,
KWT-1,6/20/21 6:41,83.82,83.82,83.82,83.82,TRUE,FALSE,solinst,,ground to top = 6.8 cm,
KFF-XD6S,6/20/21 6:35,134.5184,134.4168,134.4168,134.7216,TRUE,FALSE,solinst,,,
KHT-XD3S,6/20/21 6:31,,,,,FALSE,FALSE,solinst,,no water,
KHF-XD4S,6/20/21 6:32,153.924,153.924,153.924,153.924,TRUE,FALSE,solinst,,,
KHR-XD1S,6/20/21 6:30,125.8824,125.8824,125.8824,125.8824,TRUE,FALSE,solinst,,,
KEF-1,6/20/21 6:23,54.356,54.2544,54.2544,54.5592,TRUE,FALSE,solinst,,,
KHF-1,6/20/21 6:21,135.3312,135.3312,135.3312,135.3312,TRUE,FALSE,solinst,,,
KWF-1,6/20/21 6:18,85.344,85.344,85.344,85.344,TRUE,FALSE,solinst,,,
KWR-1,6/20/21 12:56,103.632,103.632,103.632,103.632,TRUE,FALSE,solinst,,"ground to top = 75.7, 71.2, 70.4 cm",
KHF-XE7S,6/20/21 6:47,83.82,83.82,83.82,83.82,TRUE,FALSE,solinst,,,
EHR-1,6/20/21 7:43,115.0112,114.9096,114.9096,115.2144,TRUE,FALSE,solinst,,,
EER-1,6/20/21 7:45,118.9736,118.872,118.872,119.1768,TRUE,FALSE,solinst,,,
EWR-1,6/20/21 7:46,115.1128,115.2144,115.2144,114.9096,TRUE,FALSE,solinst,,,
EFF-XA1N,6/20/21 7:54,148.336,148.1328,148.4376,148.4376,TRUE,FALSE,solinst,,,
EFF-XA2N,6/20/21 7:53,101.3968,101.1936,101.4984,101.4984,TRUE,FALSE,solinst,,,
EHT-XC5S,6/20/21 8:23,121.92,121.92,121.92,121.92,TRUE,FALSE,solinst,,past instrumentation at forest edge,
EWF-XA2S,6/20/21 7:57,153.416,153.3144,153.3144,153.6192,TRUE,FALSE,solinst,,near bottom,
EHF-XA3S,6/20/21 7:58,152.4,152.4,152.4,152.4,TRUE,FALSE,solinst,,mud at bottom,
EHT-XA5S,6/20/21 8:01,143.1544,142.9512,143.256,143.256,TRUE,TRUE,solinst,,,
EET-2,6/20/21 8:02,148.7424,148.7424,148.7424,148.7424,TRUE,FALSE,solinst,,near bottom,
EFT-XB6S,6/20/21 8:12,96.9264,96.9264,96.9264,96.9264,TRUE,FALSE,solinst,,,
EWT-1,6/20/21 8:05,150.876,150.876,150.876,150.876,TRUE,TRUE,solinst,,mud at bottom,
EHT-XB5S,6/20/21 8:10,115.4176,115.5192,115.5192,115.2144,TRUE,FALSE,solinst,,,
EFF-XB7S,6/20/21 8:14,75.0824,74.9808,74.9808,75.2856,TRUE,FALSE,solinst,"saturated, no standing water",,
EEF-1,6/20/21 8:17,128.4224,128.3208,128.3208,128.6256,TRUE,FALSE,solinst,moist not saturated,,
EET-1,6/20/21 8:20,143.3576,143.256,143.256,143.5608,TRUE,FALSE,solinst,moist to dry,,
EFR-XB3S,6/20/21 8:29,151.0792,151.1808,151.1808,150.876,TRUE,TRUE,solinst,,,
EFR-XB2S,6/20/21 8:30,,,,,FALSE,FALSE,solinst,,no water,
EHR-XB1N,6/20/21 8:33,145.6944,145.6944,145.6944,145.6944,TRUE,TRUE,solinst,,,
EFR-XB2N,6/20/21 8:34,62.992,60.96,64.008,64.008,TRUE,TRUE,solinst,,,
EFR-XB3N,6/20/21 8:36,85.1408,85.0392,85.0392,85.344,TRUE,TRUE,solinst,,,
EWR-XB4N,6/20/21 8:37,81.788,81.6864,81.6864,81.9912,TRUE,TRUE,solinst,,,
EFR-XB1S,6/20/21 8:31,128.016,128.016,128.016,128.016,TRUE,FALSE,solinst,,,
LHT-1,6/20/21 9:05,114.7064,114.6048,114.6048,114.9096,TRUE,FALSE,solinst,,,
LWT-1,6/20/21 9:07,108.204,108.204,108.204,108.204,TRUE,FALSE,solinst,,,
LET-1,6/20/21 9:06,96.2152,96.012,96.012,96.6216,TRUE,FALSE,solinst,,,
EET-XB4S,6/20/21 8:27,141.224,141.1224,141.4272,141.1224,TRUE,FALSE,solinst,,sedge dominant,
KHR-1,7/2/21 20:04,127.1016,127.1016,127.1016,127.1016,TRUE,TRUE,solinst,,Friday night,
KHT-XD6N,7/4/21 6:59,179.7304,179.832,179.832,179.5272,TRUE,FALSE,solinst,,,
KER-XD5N,7/4/21 7:00,102.108,102.108,102.108,102.108,TRUE,FALSE,solinst,,,
KHR-1,7/4/21 7:03,126.5936,126.492,126.492,126.7968,TRUE,TRUE,solinst,,gain of .02 inches,
KHR-XD1N,7/4/21 7:05,126.7968,127.1016,126.492,126.7968,TRUE,FALSE,solinst,,,
KER-1,7/4/21 7:08,117.1448,117.0432,117.0432,117.348,TRUE,FALSE,solinst,,,
KWR-XE1N,7/4/21 7:14,139.5984,139.5984,139.5984,139.5984,TRUE,FALSE,solinst,,,
KFR-XE1S,7/4/21 7:17,127,126.7968,127.1016,127.1016,TRUE,FALSE,solinst,,,
KFR-XE2S,7/4/21 7:18,64.7192,64.6176,64.6176,64.9224,TRUE,FALSE,solinst,"saturated, soggy",,
KHT-XE4S,7/4/21 7:19,141.732,141.732,141.732,141.732,TRUE,FALSE,solinst,,,
KER-XE3S,7/4/21 7:20,-7.55904,-6.49224,-8.19912,-7.98576,TRUE,FALSE,solinst,,,
KHT-XE5S,7/4/21 7:23,148.844,148.7424,148.7424,149.0472,TRUE,FALSE,solinst,,,
KHT-XE6S,7/4/21 7:25,180.4416,180.4416,180.4416,180.4416,TRUE,FALSE,solinst,,at or near bottom,
KET-1,7/4/21 7:25,53.848,53.9496,53.9496,53.6448,TRUE,TRUE,solinst,,,
KHF-XE7S,7/4/21 7:28,84.4296,84.4296,84.4296,84.4296,TRUE,FALSE,solinst,,"at or near bottom, no cap, sediment?",
KFF-XE8S,7/4/21 7:30,143.256,143.256,143.256,143.256,TRUE,FALSE,solinst,,"mud, near bottom",
KWT-1,7/4/21 7:35,135.4328,135.3312,135.3312,135.636,TRUE,FALSE,solinst,,,
KFF-XD6S,7/4/21 7:45,,,,,FALSE,FALSE,solinst,,no water,
KHF-XD4S,7/4/21 7:46,,,,,FALSE,FALSE,solinst,,no water,
KHT-XD3S,7/4/21 7:47,,,,,FALSE,FALSE,solinst,,no water,
KHR-XD1S,7/4/21 7:50,126.5936,126.492,126.492,126.7968,TRUE,TRUE,solinst,,,
KEF-1,7/4/21 7:57,53.34,53.34,53.34,53.34,TRUE,FALSE,solinst,"saturated, soggy",double-checked meter reading,
KHF-1,7/4/21 7:58,59.436,59.436,59.436,59.436,TRUE,FALSE,solinst,,"ground to top is zero, no well casing",
KWF-1,7/4/21 8:02,100.6856,100.8888,100.584,100.584,TRUE,FALSE,solinst,,,
KWR-1,7/4/21 8:05,103.632,103.632,103.632,103.632,TRUE,FALSE,solinst,,"ground to top is 61, 67, 72.4 (cm)",
KHF-1,7/5/21 17:36,97.9424,97.8408,97.8408,98.1456,TRUE,FALSE,solinst,,,
KWT-1,7/5/21 18:00,141.4272,141.4272,141.4272,141.4272,TRUE,FALSE,solinst,,,
KHT-XE5S,7/5/21 18:05,147.828,147.828,147.828,147.828,TRUE,FALSE,solinst,,,
EHR-1,7/5/21 7:30,113.284,113.0808,113.3856,113.3856,TRUE,TRUE,solinst,,,
EER-1,7/5/21 7:32,119.5832,119.4816,119.4816,119.7864,TRUE,TRUE,solinst,,,
EWR-1,7/5/21 7:35,115.6208,115.5192,115.5192,115.824,TRUE,FALSE,solinst,,,
EFF-XA1N,7/5/21 7:46,149.5552,149.6568,149.6568,149.352,TRUE,FALSE,solinst,,change to EWR-A1N; aside gravel bar in willows,
EFF-XA2N,7/5/21 7:43,74.2696,74.3712,74.3712,74.0664,TRUE,FALSE,solinst,,"EFR-A2N. Riparian? Pines within 2m, also sedge and horsetail locally, big bar to north",
EWF-XA2S,7/5/21 7:49,,,,,FALSE,FALSE,solinst,,no water; dry on 07/03 at 12pm; 0 mm of mud at bottom,
EHF-XA3S,7/5/21 7:50,,,,,FALSE,FALSE,solinst,,no water; dry on 07/03 at 12pm; 1 mm of mud at bottom,
EHT-XA5S,7/5/21 7:55,,,,,FALSE,FALSE,solinst,soil moist-dry,no water; augered to 122 cm below ground and still no water,
EET-2,7/5/21 7:57,149.4536,149.352,149.352,149.6568,TRUE,FALSE,solinst,soil moist-dry,mud,
EWT-1,7/5/21 7:59,152.4,152.4,152.4,152.4,TRUE,FALSE,solinst,soil moist-dry,hot bottom but clear water reading on meter,
EHT-XB5S,7/5/21 8:06,143.1544,143.256,143.256,142.9512,TRUE,FALSE,solinst,,Fan? Cobble- to boulder-sized rocks at surface,
EFT-XB6S,7/5/21 8:09,119.888,119.7864,120.0912,119.7864,TRUE,FALSE,solinst,,"locally MH, tree within 2 meters",
EFF-XB7S,7/5/21 8:11,104.2416,104.2416,104.2416,104.2416,TRUE,FALSE,solinst,,"locally MH, tree within 2 meters",
EEF-1,7/5/21 8:17,135.7376,135.636,135.636,135.9408,TRUE,TRUE,solinst,,carex and juncus,
EET-1,7/5/21 8:24,,,,,FALSE,TRUE,solinst,,"no water; new phenocam spot, EHW present.",
EHT-XC5S,7/5/21 8:22,146.1008,145.9992,145.9992,146.304,TRUE,FALSE,solinst,,EHT?,
EET-XB4S,7/5/21 8:33,145.3896,145.3896,145.3896,145.3896,TRUE,FALSE,solinst,,"EER? sedge or MH? downslope of terrace, out of pine canopy, >5m from tree",
EFR-XB3S,7/5/21 8:38,,,,,FALSE,TRUE,solinst,,no water; Forest <2 m from pine,
EFR-XB2S,7/5/21 8:39,,,,,FALSE,FALSE,solinst,,no water; Forest 2.7m from tree,
EFR-XB1S,7/5/21 8:41,140.4112,140.208,140.5128,140.5128,TRUE,FALSE,solinst,,Forest <2m from pine,
EHR-XB1N,7/5/21 8:44,147.828,147.828,147.828,147.828,TRUE,FALSE,solinst,,"MH, 4m from pine base and 3m from canopy",
EFR-XB2N,7/5/21 8:46,63.1952,63.0936,63.0936,63.3984,TRUE,TRUE,solinst,,clearly MH,
EFR-XB3N,7/5/21 8:49,85.9536,85.9536,85.9536,85.9536,TRUE,TRUE,solinst,,"clearly W, at canopy edge",
EWR-XB4N,7/5/21 8:50,83.2104,82.9056,83.2104,83.5152,TRUE,TRUE,solinst,,clearly W,
LHT-1,7/4/21 9:03,131.064,131.064,131.064,131.064,TRUE,FALSE,solinst,,,
LET-1,7/4/21 9:05,112.776,112.776,112.776,112.776,TRUE,FALSE,solinst,,,
LWT-1,7/4/21 9:11,112.268,112.1664,112.1664,112.4712,TRUE,FALSE,solinst,,,
EHT-XA5S,7/16/21 8:35,,,,,FALSE,FALSE,solinst,,new well,
EWT-1,7/16/21 8:40,134.0104,134.112,134.112,133.8072,TRUE,FALSE,solinst,,"new well, no well casing yet so top to ground = 0",
EET-2,7/16/21 8:45,,,,,FALSE,FALSE,solinst,,new well,
KHT-XD6N,7/20/21 6:48,218.44,218.5416,218.5416,218.2368,TRUE,FALSE,solinst,,,
KER-XD5N,7/20/21 6:52,120.396,120.0912,120.396,120.7008,TRUE,TRUE,solinst,,,
KHR-1,7/20/21 6:53,144.78,144.78,144.78,144.78,TRUE,TRUE,solinst,,,
KHR-XD1N,7/20/21 6:55,127.8128,128.016,127.7112,127.7112,TRUE,TRUE,solinst,,,
KER-1,7/20/21 6:57,147.7264,147.828,147.828,147.5232,TRUE,FALSE,solinst,mud,,
KWR-XE1N,7/20/21 7:04,147.7264,147.828,147.828,147.5232,TRUE,FALSE,solinst,,,
KFR-XE1S,7/20/21 7:05,130.048,130.1496,130.1496,129.8448,TRUE,FALSE,solinst,dry,,
KFR-XE2S,7/20/21 7:06,63.7032,63.7032,63.7032,63.7032,TRUE,FALSE,solinst,,,
KER-XE3S,7/20/21 7:08,-6.3,-4.2,-6.9,-7.8,TRUE,FALSE,solinst,ponded water,in centimeters? not noted,
KHT-XE4S,7/20/21 7:09,141.732,141.732,141.732,141.732,TRUE,FALSE,solinst,dry,mud at bottom,
KHT-XE5S,7/20/21 7:11,99.6696,99.6696,99.6696,99.6696,TRUE,FALSE,solinst,dry,,
KHT-XE6S,7/20/21 7:13,112.6744,112.4712,112.776,112.776,TRUE,TRUE,solinst,dry,,
KET-1,7/20/21 7:17,66.4464,66.4464,66.4464,66.4464,TRUE,FALSE,solinst,dry,,
KHF-XE7S,7/20/21 7:15,,,,,FALSE,FALSE,solinst,dry,no water,
KFF-XE8S,7/20/21 7:21,142.6464,142.6464,142.6464,142.6464,TRUE,FALSE,solinst,dry,mud near bottom,
KWT-1,7/20/21 7:25,143.5608,143.5608,143.5608,143.5608,TRUE,FALSE,solinst,dry,mud close to bottom,
KFF-XD6S,7/20/21 7:36,,,,,FALSE,TRUE,solinst,dry,no water,
KHR-XD1S,7/20/21 7:39,127.7112,127.7112,127.7112,127.7112,TRUE,TRUE,solinst,dry,,
KEF-1,7/20/21 7:49,54.5592,54.5592,54.5592,54.5592,TRUE,TRUE,solinst,dry,,
KHF-1,7/20/21 7:50,110.0328,110.0328,110.0328,110.0328,TRUE,TRUE,solinst,dry,,
KWF-1,7/20/21 7:53,144.78,144.78,144.78,144.78,TRUE,FALSE,solinst,dry,,
KWR-1,7/20/21 7:56,103.632,103.632,103.632,103.632,TRUE,FALSE,solinst,dry,,
EHR-1,7/20/21 8:16,118.364,118.2624,118.2624,118.5672,TRUE,FALSE,solinst,dry,,
EER-1,7/20/21 8:18,124.968,124.968,124.968,124.968,TRUE,FALSE,solinst,dry,,
EWR-1,7/20/21 8:19,116.5352,116.4336,116.4336,116.7384,TRUE,FALSE,solinst,dry,,
EFF-XA1N,7/20/21 8:26,148.844,148.7424,148.7424,149.0472,TRUE,FALSE,solinst,dry,,
EFF-XA2N,7/20/21 8:25,78.6384,78.6384,78.6384,78.6384,TRUE,FALSE,solinst,dry,,
EWF-XA2S,7/20/21 8:28,,,,,FALSE,FALSE,solinst,dry,"no water, mud",
EHT-XA5S,7/20/21 8:30,,,,,FALSE,FALSE,solinst,dry,no water,
EET-2,7/20/21 8:31,,,,,FALSE,FALSE,solinst,dry,no water,
EWT-1,7/20/21 8:32,197.9168,197.8152,197.8152,198.12,TRUE,FALSE,solinst,dry,no cap,
EHT-XB5S,7/20/21 8:36,,,,,FALSE,FALSE,solinst,dry,no water,
