"","timestamp","well_id","water_binary","ground_to_water","observation_period"
"679",2019-06-03,"KHT-XE4S",1,3.17999999999999,"12"
"680",2019-06-03,"KHT-XE5S",1,-1.57583333333333,"12"
"681",2019-06-03,"KHT-XE6S",1,1.85666666666667,"12"
"682",2019-06-03,"KWF-1",1,3.06666666666666,"12"
"683",2019-06-03,"KWR-1",1,8.71666666666667,"12"
"684",2019-06-03,"KWT-1",1,-0.0666666666666629,"12"
"698",2019-06-17,"KEF-1",1,-17.65875,"13"
"699",2019-06-17,"KER-1",1,-1.45875,"13"
"700",2019-06-17,"KER-XD5N",1,1.13291666666667,"13"
"701",2019-06-17,"KER-XE3S",1,NA,"13"
"702",2019-06-17,"KFF-XD6S",1,-7.32541666666667,"13"
"703",2019-06-17,"KFF-XE8S",1,-1.80999999999999,"13"
"704",2019-06-17,"KFR-XE1S",1,-18.80875,"13"
"705",2019-06-17,"KFR-XE2S",1,1.90541666666666,"13"
"706",2019-06-17,"KHF-1",1,16.59125,"13"
"707",2019-06-17,"KHF-XD4S",1,-15.1670833333333,"13"
"708",2019-06-17,"KHR-XD1N",1,9.90000000000001,"13"
"709",2019-06-17,"KHT-XD3S",1,-19.97875,"13"
"710",2019-06-17,"KHT-XD6N",1,-8.41375000000001,"13"
"711",2019-06-17,"KHT-XE4S",1,2.02124999999999,"13"
"712",2019-06-17,"KHT-XE5S",1,-3.06791666666667,"13"
"713",2019-06-17,"KHT-XE6S",1,-0.235416666666664,"13"
"714",2019-06-17,"KWF-1",1,0.374583333333328,"13"
"715",2019-06-17,"KWR-1",1,8.05,"13"
"716",2019-06-17,"KWR-XE1N",1,8.09999999999999,"13"
"717",2019-06-17,"KWR-XE1N",1,4.64124999999999,"13"
"718",2019-06-17,"KWT-1",1,-2.15875,"13"
"719",2019-06-18,"EEF-1",1,-1.65033333333333,"13"
"720",2019-06-18,"EER-1",1,-14.6201033333333,"13"
"721",2019-06-18,"EET-1",1,-28.0769791666667,"13"
"722",2019-06-18,"EFF-XA2N",1,-5.22741666666667,"13"
"723",2019-06-18,"EHF-XA3S",1,-4.74410256333333,"13"
"724",2019-06-18,"EHF-XA3S",1,-3.80285256333334,"13"
"725",2019-06-18,"EHR-1",1,-9.16345695904761,"13"
"726",2019-06-18,"EHT-XA5S",1,-1.22912121266667,"13"
"727",2019-06-18,"EWF-XA2S",1,-17.5355,"13"
"728",2019-06-18,"EWR-1",1,10.6581333333333,"13"
"729",2019-06-18,"EWT-1",0,-93.387,"13"
"746",2019-07-05,"KEF-1",1,-2.95875000000001,"14"
"747",2019-07-05,"KER-1",1,-10.4920833333333,"14"
"748",2019-07-05,"KER-XD5N",1,-7.43374999999999,"14"
"749",2019-07-05,"KER-XE3S",1,NA,"14"
"750",2019-07-05,"KFF-XD6S",1,-23.2254166666667,"14"
"751",2019-07-05,"KFF-XE8S",1,-16.1433333333333,"14"
"752",2019-07-05,"KFR-XE1S",1,-46.5754166666667,"14"
"753",2019-07-05,"KFR-XE2S",1,-3.99458333333334,"14"
"754",2019-07-05,"KHF-1",1,-18.60875,"14"
"755",2019-07-05,"KHF-XD4S",1,-75.83375,"14"
"756",2019-07-05,"KHR-XD1N",1,-30.2254166666667,"14"
"757",2019-07-05,"KHT-XD3S",1,-64.5454166666667,"14"
"758",2019-07-05,"KHT-XD6N",1,-56.91375,"14"
"759",2019-07-05,"KHT-XE4S",1,-2.67875,"14"
"760",2019-07-05,"KHT-XE5S",1,-17.1345833333333,"14"
"761",2019-07-05,"KHT-XE6S",1,-5.00208333333333,"14"
"762",2019-07-05,"KRH-XD1S",1,-35.4754166666667,"14"
"763",2019-07-05,"KWF-1",1,-25.2920833333333,"14"
"764",2019-07-05,"KWR-1",1,-5.57541666666667,"14"
"765",2019-07-05,"KWR-XE1N",1,-21.3254166666667,"14"
"766",2019-07-05,"KWT-1",1,-5.59208333333333,"14"
"767",2019-07-06,"EEF-1",1,-18.5090833333333,"14"
"768",2019-07-06,"EER-1",1,-33.6284366666667,"14"
"769",2019-07-06,"EFF-XA2N",1,-17.56075,"14"
"770",2019-07-06,"EFF-XB7S",1,-4.97541666666667,"14"
"771",2019-07-06,"EFR-XB1S",1,-35.7294166666667,"14"
"772",2019-07-06,"EFR-XB2N",1,-17.40875,"14"
"773",2019-07-06,"EFR-XB2S",0,-19.39,"14"
"774",2019-07-06,"EFR-XB3N",1,-28.75875,"14"
"775",2019-07-06,"EFR-XB3S",1,-51.15875,"14"
"776",2019-07-06,"EHF-XA3S",1,-6.90285256333333,"14"
"777",2019-07-06,"EHR-1",1,-36.7634569590476,"14"
"778",2019-07-06,"EHR-XB1N",1,-51.50875,"14"
"779",2019-07-06,"EHT-XA5S",1,-55.421204546,"14"
"780",2019-07-06,"EHT-XB4S",1,-26.5920833333333,"14"
"781",2019-07-06,"EWF-XA2S",1,-21.6275833333333,"14"
"782",2019-07-06,"EWR-1",1,1.46605,"14"
"783",2019-07-06,"EWR-XB4N",1,-27.0920833333333,"14"
"784",2019-07-06,"EWT-1",1,-77.06075,"14"
"785",2019-07-07,"LET-1",1,-30.6504166666667,"14"
"786",2019-07-07,"LHT-1",1,-38.3670833333333,"14"
"787",2019-07-07,"LWT-1",1,-29.6670833333333,"14"
"806",2019-07-26,"EEF-1",1,-49.057,"15"
"807",2019-07-26,"EER-1",1,-38.1013533333333,"15"
"808",2019-07-26,"EET-1",1,-87.6503125,"15"
"809",2019-07-26,"EFF-XA2N",1,-25.6753333333333,"15"
"810",2019-07-26,"EFF-XB7S",1,-3.59,"15"
"811",2019-07-26,"EFR-XB1S",1,-41.044,"15"
"812",2019-07-26,"EFR-XB2N",1,-24.6566666666667,"15"
"813",2019-07-26,"EFR-XB2S",0,-19.39,"15"
"814",2019-07-26,"EFR-XB3N",1,-33.1733333333333,"15"
"815",2019-07-26,"EFR-XB3S",1,-55.3233333333333,"15"
"816",2019-07-26,"EHF-XA3S",1,-40.0841025633333,"15"
"817",2019-07-26,"EHR-1",1,-54.0780402923809,"15"
"818",2019-07-26,"EHR-XB1N",1,-59.49,"15"
"819",2019-07-26,"EHT-XA5S",1,-91.4691212126667,"15"
"820",2019-07-26,"EHT-XB4S",0,-44.2,"15"
"821",2019-07-26,"EWF-XA2S",1,-46.7755,"15"
"822",2019-07-26,"EWR-1",1,-17.7152,"15"
"823",2019-07-26,"EWR-XB4N",1,-36.8066666666667,"15"
"824",2019-07-26,"EWT-1",1,-91.267,"15"
"825",2019-07-26,"KEF-1",1,-7.74,"15"
"826",2019-07-26,"KER-1",1,-12.6733333333333,"15"
"827",2019-07-26,"KER-XD5N",1,-24.215,"15"
"828",2019-07-26,"KER-XE3S",1,NA,"15"
