#,well_id,date,source,start depth (cm),stop depth (cm),start depth (in),stop depth (in),horizon,organic matter,soil texture,water content,roots,color,redox,notes,texture,sub-class,soil texture code,gravel size,gravel amount
,KWR-1,6/20/18,black spiral p17,25.4,63.5,10.0,25.0,,,clay loam,saturated,"C/C, F/VC",brown,,,clay loam,,CL,,
,KWR-1,6/20/18,black spiral p17,63.5,81.28,25.0,32.0,,,"sandy clay loam, GR",saturated,C/F-VF,brown,,"mostly pebbles, a few gravels > 11 mm",sandy clay loam,GR,SCL,"(5, 20)","(0.15, 0.35)"
,KWR-1,6/20/18,black spiral p17,81.28,83.82,32.0,33.0,,,GR,saturated,,,,bottom of well,gr,,,,
,,,,,,,,,,,,,,,,,,,,
13.0,KHF-1,6/30/18,black spiral p17,0.0,12.7,0.0,5.0,,"HO, grassy, HPM",clay,moist,"M/C-VF, fibrous",dark brown,,fibrous roots throughout,clay,,C,,
,KHF-1,6/30/18,black spiral p17,12.7,24.13,5.0,9.5,,,clay,moist,"M/F-VF, F/C-M",dark brown,,,clay,,C,,
,KHF-1,6/30/18,black spiral p17,24.13,38.1,9.5,15.0,,,clay,moist,"C/F-VF, F/C-M",brown,,"hit rock > 120 mm; failed attempt, not the ultimate well location",clay,,C,,
,,,,,,,,,,,,,,,,,,,,
14.0,KHF-1,6/30/18,black spiral p19,0.0,5.08,0.0,2.0,,HO,HO,dry,"M/M-VF, F/C",brown,,crumbly,ho,,,,
,KHF-1,6/30/18,black spiral p19,5.08,15.24,2.0,6.0,,,"silty clay, FGR",dry,C/M-VF,brown,,,silty clay,FGR,SIC,"(2, 5)","(0.15, 0.35)"
,KHF-1,6/30/18,black spiral p19,15.24,35.56,6.0,14.0,,,clay,moist,F/M-F,light brown,,,clay,,C,,
,KHF-1,6/30/18,black spiral p19,35.56,57.15,14.0,22.5,,,"clay loam, FGR, MGR",wet,C/F-VF,tan,,,clay loam,"FGR, MGR",CL,"(2, 5)","(0.15, 0.35)"
,KHF-1,6/30/18,black spiral p19,57.15,71.12,22.5,28.0,,,"sandy clay, FGR",moist,F/C,tan and orange,,,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,KHF-1,6/30/18,black spiral p19,71.12,86.36,28.0,34.0,,,sandy clay,saturated,"F/VF, F/fibrous",tan and orange,,some chunks of soil dry inside,sandy clay,,SC,,
,KHF-1,6/30/18,black spiral p19,86.36,88.9,34.0,35.0,,,GR,,,,,hit big rock at bottom > 120 mm,gr,,,,
,,,,,,,,,,,,,,,,,,,,
15.0,KEF-1,6/30/18,black spiral p19,0.0,5.08,0.0,2.0,,"HO, grassy, fibrous",HO,moist,M/C-F,dark brown,,,ho,,,,
,KEF-1,6/30/18,black spiral p19,5.08,27.94,2.0,11.0,,,clay,saturated,C/C-F,dark brown,,,clay,,C,,
,KEF-1,6/30/18,black spiral p19,27.94,38.1,11.0,15.0,,fibrous,"clay, ST",saturated,"F/C, C/F-VF",gray brown,,hit two large stones (ST),clay,ST,C,,0.0
,KEF-1,6/30/18,black spiral p19,38.1,66.04,15.0,26.0,,fibrous,"sandy clay, FGR",saturated,M/F-VF,dark gray,,gravels subangular,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,KEF-1,6/30/18,black spiral p19,66.04,81.28,26.0,32.0,,,"sandy clay loam, FGR, CGR",saturated,"F/VF, F/fibrous","gray and tan, mottled orange",,gravels subangular,sandy clay loam,"FGR, CGR",SCL,"(2, 5)","(0.15, 0.35)"
,,,,,,,,,,,,,,,,,,,,
16.0,KWF-1,6/30/18,black spiral p19,0.0,20.32,0.0,8.0,,"HO, grassy",clay,moist,M/C-F,dark brown,,,clay,,C,,
,KWF-1,6/30/18,black spiral p19,20.32,38.1,8.0,15.0,,,"sandy clay, FGR",wet,"C/C-F, M/VF",dark brown,,,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,KWF-1,6/30/18,black spiral p19,38.1,67.31,15.0,26.5,,,"sandy clay loam, FGR, CGR",wet-saturated,C/F-VF,red brown,,,sandy clay loam,"FGR, CGR",SCL,"(2, 5)","(0.15, 0.35)"
,KWF-1,6/30/18,black spiral p19,67.31,83.82,26.5,33.0,,,"sandy clay, FGR",saturated,,tan,,,sandy clay,FGR,SC,"(2, 5)","(0.15, 0.35)"
,KWF-1,6/30/18,black spiral p19,83.82,88.9,33.0,35.0,,,"sandy clay, VGR (M-F)",,,tan,,,sandy clay,VGR (M-F),SC,,0.0
,KWF-1,6/30/18,black spiral p19,88.9,91.44,35.0,36.0,,,GR,,,,,"loose gravel; bottom of well at 35""",gr,,,,
,,,,,,,,,,,,,,,,,,,,
17.0,KHR-1,7/4/19,orange p70,0.0,4.0,,,,HO,HO,moist,"C/VF, F/M, M/F","7.5 YR, 2.5/1; mottled yellow",,,ho,,,,
,KHR-1,7/4/19,orange p70,4.0,32.0,,,,,silty clay,moist,"C/VF, M/F, VF/C","7.5 YR, 2.5/1; mottled yellow",,,silty clay,,SIC,,
,KHR-1,7/4/19,orange p70,32.0,42.0,,,,,sandy clay,moist,"VF/M-C, F/C, M/F","7.5 YR, 3/2; mottled red-orange",,,sandy clay,,SC,,
,KHR-1,7/4/19,orange p70,42.0,50.0,,,,,silty clay,saturated,"VF/F, F/F","7.5 YR, 3/2; mottled red-orange",,,silty clay,,SIC,,
,KHR-1,7/4/19,orange p70,50.0,74.0,,,,,sandy clay,saturated,"VF/F, F/F","10 YR, 4/2; mottled yellow",,,sandy clay,,SC,,
,KHR-1,7/4/19,orange p70,74.0,95.0,,,,,sandy clay,saturated,M/VF,"10 YR, 4/3; mottled orange",,FGR < 15%,sandy clay,,SC,,
