well_id,2018_141,2018_154,2018_167,2018_180,2018_193,2018_206,2018_219,2018_232,2018_245,2018_258,2018_271,2018_284,2018_297,2018_310,2018_323,2019_141,2019_154,2019_167,2019_180,2019_193,2019_206,2019_219,2019_232,2019_245,2019_258,2019_271,2019_284,2019_297,2019_310,2019_323,2021_141,2021_154,2021_167,2021_180,2021_193,2021_206,2021_219,2021_232,2021_245,2021_258,2021_271,2021_284,2021_297,2021_310,2021_323,2024_141,2024_154,2024_167,2024_180,2024_193,2024_206,2024_219,2024_232,2024_245,2024_258,2024_271,2024_284,2024_297,2024_310,2024_323,2025_141,2025_154,2025_167,2025_180,2025_193,2025_206,2025_219,2025_232,2025_245,2025_258,2025_271,2025_284,2025_297,2025_310,2025_323
KFR-XE1S,,43.5958,52.2742,55.2375,58.8833,59.314623682901654,59.7833,60.65229038593908,,60.7833,64.4167,58.2167,,,56.85,,,18.35,46.1167,,56.0833,58.449999999999996,62.5167,63.05,60.0833,,57.6833,57.45,,,,61.318,63.4516,63.35,,66.398,66.1948,64.7724,64.7724,,63.1468,57.3533,,,56.746,21.675,34.675,44.335,49.205,53.575,56.315,58.755,59.675,59.465,,57.235,58.145,55.205,53.275,,,,,,,,,,,,,,,,
KFR-XE2S,,2.3425,4.7767,3.5067,5.2,6.1,5.8,7.7,,8.8333,8.2,8.7,,,8.2667,,,-2.9667,2.9333,,4.1333,6.5667,7.6333,7.3667,7.3333,,7.2333,7.2333,,,,2.5048,2.4032,3.4192,,2.4032,0.7776,1.0824,-0.34,,0.2696,-0.43,,,-0.6448,-2.47,-1.25,-0.95,0.17,-0.95,-0.34,-0.64,-0.54,-0.95,,-1.05,0.0,-0.44,-0.95,,,,,,,,,,,,,,,,
KFT-XD3S,,38.9833,,,,,,,,,,,,,,,,19.52,64.0867,,,,,,,,,,,,,63.0936,,,,,,,,,,,,,24.9936,87.93,48.61,,,,,,,,,,59.89,,,,,,,,,,,,,,,,,,
KHF-1,,,,63.7492,82.65,,,,,76.7833,68.6733000696011,54.5167,,,29.4833,,-0.07089641604241592,3.4962156824507975,15.829050653602991,44.63094003033895,60.83706643064499,65.5838289103324,65.05966855115423,65.20457117078588,,,43.55,36.2833,,,,52.51465016918323,60.61481034421822,60.089200000000005,71.07344013102892,77.91020551356281,87.2921546077897,89.36769473992521,89.55268677733088,77.00150297580912,61.80843564811327,56.42449041941673,25.385283425761152,8.904115315442569,7.034876643181931,1.2,10.420799176791757,24.646325359734362,44.786012952495525,52.20924715883687,54.78319010157394,59.51392592811377,61.620338448572845,52.27270346615151,52.88162181242676,32.59705553681852,25.858114377064194,16.18174797056151,14.059301840389065,,9.14127779016698,19.895828214240638,43.82353474578263,48.149559689834525,59.20920260201737,67.85593947870854,69.31435528085333,73.81019432803804,51.0043423968673,52.72245518602843,48.978509893732046,26.87900239123582,16.431543047710946,14.307799252393094,
KHF-XD4S,,33.4242,,,,,,,,,,,,,,,14.4417,14.7083,75.375,,,,,,,,,,,,,70.535,87.299,,,,,,,,,,,,21.0558,14.165,43.225,85.695,84.985,85.485,,,,,,,,,85.995,,,,,,,,,,,,,,,,
KHR-1,,,,,,,,,,,,,,,,,,,16.225,,32.1583,36.4583,38.6583,46.3917,,,17.025,14.8917,,,,35.6058,67.37349771380453,66.25859527542585,,92.705,93.1114,93.6194,92.5018,,93.6194,,,,11.2218,7.365,9.395,19.855,32.865,47.39781538594647,60.55648528746689,79.02374001758514,92.53698607887257,91.85453809378443,93.56193147664338,92.5221352811251,93.16930405817858,94.225,89.655,,13.224076914942806,18.346987290568148,29.6569398793361,42.26293328870573,60.282932788780315,80.32801156948904,91.9081027481914,92.3322041738027,92.13373339067127,93.16343778845156,93.04689449510865,93.78305595209055,90.34692447928067,81.07213829135505,
KHR-XD1N,,,,,,,,,,,,,,,,,-11.0,-9.9,29.7667,,41.7,,,47.0333,,,,46.6,,,,54.132,51.3888,51.8968,,52.9128,52.9128,53.116,53.116,,52.2016,50.9367,,,43.8704,-5.555,17.805,32.645,40.975,46.255,48.695,50.115,50.825,51.135,,51.035,50.725,50.925,49.815,,,,,,,,,,,,,,,,
KHR-XD1S,,,,,,,,,,,,,,,,,,,35.0167,,,,,51.35,,,,49.45,,,,51.9212,52.6324,53.3436,,54.4612,54.766,55.0708,54.766,,53.5468,51.7867,,,44.7076,,,,43.97,49.05,51.59,51.39,51.59,51.08,,50.17,,50.37,48.54,,,,,,,,,,,,,,,,
KHR-XD2N,,27.6075,40.7308,54.8067,59.4175,58.0508,58.9842,60.2842,,56.9842,55.1175,53.3508,,,46.6508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHR-XE2N,,54.7442,60.0358,62.47,64.69,65.0567,65.0567,65.89,,65.1567,65.29,63.59,,,58.0567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHT-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.94086656348075,82.45058213647681,89.26653012711857,88.75754717351563,71.41332624893074,61.61556045732174,54.751685744097884,25.274420668675432,-2.1691744062931035,-3.315282065288039,-19.7125,-9.442000358676113,6.709568360218932,28.473903443325657,43.91102116662592,52.791022658143035,55.84264894839056,58.527571357246416,54.490090876868706,57.09305889587351,52.53586689464186,50.64622587816131,46.640495795594966,42.38915673476175,,-5.0334378387106415,4.83892015787357,24.53178125339332,40.78221944007095,51.23689796029443,54.08056817976013,56.307378338460346,59.37077891586903,48.56597824864662,48.36768223214976,46.824743737533645,43.13326140724897,33.98226411749693,31.88175507998259,
