well_id,2018_146,2018_161,2018_176,2018_191,2018_206,2018_221,2018_236,2018_251,2018_266,2018_281,2018_296,2018_311,2019_146,2019_161,2019_176,2019_191,2019_206,2019_221,2019_236,2019_251,2019_266,2019_281,2019_296,2019_311,2021_146,2021_161,2021_176,2021_191,2021_206,2021_221,2021_236,2021_251,2021_266,2021_281,2021_296,2021_311,2024_146,2024_161,2024_176,2024_191,2024_206,2024_221,2024_236,2024_251,2024_266,2024_281,2024_296,2024_311,2025_146,2025_161,2025_176,2025_191,2025_206,2025_221,2025_236,2025_251,2025_266,2025_281,2025_296,2025_311
KFR-XE2S,2.3425,,4.1417,5.2,6.1,5.8,7.7,,8.8333,8.45,,,,-2.9667,,2.9333,4.1333,6.5667,7.6333,7.3667,7.3333,7.2333,7.2333,,,2.5048,2.4032,3.4192,2.4032,0.7776,1.0824,-0.34,0.2696,-0.43,,-0.6448,-2.47,-1.1,0.17,-0.95,-0.34,-0.64,-0.54,-0.95,-1.05,0,-0.44,-0.95,,,,,,,,,,,,
KFT-XD3S,38.9833,,,,,,,,,,,,,19.52,,64.0867,,,,,,,,,,63.0936,,,,,,,,,,24.9936,87.93,48.61,,,,,,,,59.89,,,,,,,,,,,,,,
KHF-1,,,63.7492,82.65,,,,,72.67330007,61.65,,,,0.465671197,12.02127241,39.82585063,60.74058572,65.35143079,65.22799998,65.44206149,,43.55,36.2833,,,56.63156569,65.7475754,69.21727033,77.73262798,88.18699302,89.05004199,86.91565675,65.74454508,57.5901777,29.22950685,8.654883492,1.2,15.75535363,39.7003761,51.62790701,54.71323345,59.92531654,58.13147882,54.00685379,40.17796369,27.53794058,16.95143868,14.05930184,12.39334569,34.55940542,46.59837814,57.54417064,67.62207557,70.77816018,65.91075224,51.37135181,53.63088487,31.30677545,16.50177452,14.30779925
KHF-XD4S,33.4242,,,,,,,,,,,,,14.575,,75.375,,,,,,,,,,70.535,87.299,,,,,,,,,21.0558,14.165,64.46,84.985,85.485,,,,,,,,85.995,,,,,,,,,,,,
KHR-1,,,,,,,,,,,,,,,,16.225,32.1583,36.4583,38.6583,46.3917,,17.025,14.8917,,,35.6058,64.59141294,74.5979545,92.705,93.1114,93.6194,92.5018,93.6194,,,11.2218,7.365,14.625,32.865,47.54534296,60.43138412,81.92793852,92.51339026,92.60114117,93.25593263,92.42693692,94.225,89.655,15.78592753,23.61670156,38.31991219,57.35803982,80.34925893,92.17233547,92.05143588,92.76292757,93.01956187,93.77672086,90.66781493,81.07213829
KHR-XD1N,,,,,,,,,,,,,,-10.45,,29.7667,41.7,,,47.0333,,,46.6,,,54.132,51.3888,51.8968,52.9128,52.9128,53.116,53.116,52.2016,50.9367,,43.8704,-5.555,25.225,40.975,46.255,48.695,50.115,50.825,51.135,51.035,50.725,50.925,49.815,,,,,,,,,,,,
KHR-XD1S,,,,,,,,,,,,,,,,35.0167,,,,51.35,,,49.45,,,51.9212,52.6324,53.3436,54.4612,54.766,55.0708,54.766,53.5468,51.7867,,44.7076,,,43.97,49.05,51.59,51.39,51.59,51.08,50.17,,50.37,48.54,,,,,,,,,,,,
KHR-XD2N,27.6075,,47.76875,59.4175,58.0508,58.9842,60.2842,,56.9842,54.23415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHR-XE2N,54.7442,,61.2529,64.69,65.0567,65.0567,65.89,,65.1567,64.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHT-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.34480304,84.6292618,89.350166,82.22714558,64.28515298,56.31747397,28.83702917,-2.251039239,-19.7125,-2.687184494,21.77989137,41.72508938,52.65609617,56.29332664,56.74152122,56.67348747,54.10007355,51.10188697,47.03709381,42.38915673,0.29372014,13.92218231,37.2952374,49.96534922,54.05619778,57.12021361,55.56650456,48.59080553,47.84946589,44.56621214,34.34801043,31.88175508
