"","well_id","timestamp","water_binary","ground_to_water"
"393","EWT-1",2018-08-10,1,-95.0936666666667
"366","EWT-1",2018-08-24,0,-93.387
"104","EWT-1",2018-09-16,0,-93.387
"101","EWT-1",2018-09-29,0,-93.387
"357","EWT-1",2018-11-18,1,-48.9936666666667
"37","EWT-1",2019-06-02,1,35.4063333333333
"341","EWT-1",2019-06-18,0,-93.387
"478","EWT-1",2019-07-06,1,-77.06075
"137","EWT-1",2019-07-26,1,-91.267
"10","EWT-1",2019-08-05,1,-93.0436666666667
"563","EWT-1",2019-08-20,0,-93.387
"597","EWT-1",2019-09-21,1,-73.7836666666667
"613","EWT-1",2019-10-05,1,-59.617
"623","EWT-1",2019-10-20,1,-53.4836666666667
"182","KEF-1",2018-07-01,1,-7.69208333333333
"278","KEF-1",2018-07-17,1,-9.42833333333333
"292","KEF-1",2018-07-27,1,-8.16166666666667
"332","KEF-1",2018-08-10,1,-4.96666666666667
"319","KEF-1",2018-08-25,1,-5.2
"316","KEF-1",2018-09-16,1,-9.56666666666667
"410","KEF-1",2018-10-01,1,-6.16666666666667
"405","KEF-1",2018-10-14,1,-5.96666666666667
"31","KEF-1",2018-11-18,NA,NA
"64","KEF-1",2019-06-03,1,-0.333333333333336
"452","KEF-1",2019-06-17,1,-17.65875
"497","KEF-1",2019-07-05,1,-2.95875000000001
"142","KEF-1",2019-07-26,1,-7.74
"571","KEF-1",2019-09-02,1,-9.45666666666667
"567","KEF-1",2019-10-20,1,-6.62333333333334
"199","KER-1",2018-06-19,1,-19.6404166666667
"211","KER-1",2018-07-01,1,-38.47875
"266","KER-1",2018-07-17,1,-66.695
"250","KER-1",2018-07-27,1,-72.695
"329","KER-1",2018-08-10,1,-74.4
"391","KER-1",2018-08-25,0,-68.3
"109","KER-1",2018-09-16,0,-68.3
"97","KER-1",2018-10-01,0,-68.3
"98","KER-1",2018-10-14,0,-68.3
"94","KER-1",2018-11-18,0,-68.3
"27","KER-1",2019-06-03,1,NA
"447","KER-1",2019-06-17,1,-1.45875
"465","KER-1",2019-07-05,1,-10.4920833333333
"158","KER-1",2019-07-26,1,-12.6733333333333
"9","KER-1",2019-08-04,1,-13.4166666666667
"512","KER-1",2019-08-20,1,-24.69
"510","KER-1",2019-09-02,1,-42.49
"537","KER-1",2019-09-21,1,-26.0566666666667
"572","KER-1",2019-10-05,1,-19.1566666666667
"547","KER-1",2019-10-20,1,-17.1566666666667
"75","KER-XD5N",2019-06-03,1,1.425
"455","KER-XD5N",2019-06-17,1,1.13291666666667
"488","KER-XD5N",2019-07-05,1,-7.43374999999999
"156","KER-XD5N",2019-07-26,1,-24.215
