well_id,timestamp,welltop_to_water_cm,water_level_1_cm,water_level_2_cm,water_level_3_cm,water_binary,logger?,meter_id,soil moisture,notes,vegetation,HGMZ
KEF-1,9/2/19 12:52,57.6,,,,TRUE,NaN,v6,,,,
KEF-1,9/2/19 12:52,57.3,,,,TRUE,NaN,v6,,,,
KHR-XD1S,9/2/19 13:12,121.9,,,,TRUE,NaN,v6,,,,
KHR-XD1S,9/2/19 13:12,121.9,,,,TRUE,NaN,v6,,,,
KHR-XD1S,9/2/19 13:12,121,,,,TRUE,NaN,v6,,,,
KHR-XD1N,9/2/19 13:20,118.9,,,,TRUE,NaN,v6,,,,
KHR-XD1N,9/2/19 13:20,119,,,,TRUE,NaN,v6,,,,
KHR-XD1N,9/2/19 13:20,118.9,,,,TRUE,NaN,v6,,,,
KER-XD5N,9/2/19 13:52,74.6,,,,TRUE,NaN,v6,,,,
KER-XD5N,9/2/19 13:52,75.1,,,,TRUE,NaN,v6,,,,
KER-XD5N,9/2/19 13:52,75.1,,,,TRUE,NaN,v6,,,,
LHT-1,9/3/19 7:51,132.6,,,,TRUE,NaN,v6,,muddy,,
LHT-1,9/3/19 7:51,132.4,,,,TRUE,NaN,v6,,,,
LHT-1,9/3/19 7:51,132.5,,,,TRUE,NaN,v6,,,,
LET-1,9/3/19 7:53,121.3,,,,TRUE,NaN,v6,,,,
LET-1,9/3/19 7:53,121.6,,,,TRUE,NaN,v6,,,,
LET-1,9/3/19 7:53,121.7,,,,TRUE,NaN,v6,,,,
LWT-1,9/3/19 7:55,123.5,,,,TRUE,NaN,v6,,,,
LWT-1,9/3/19 7:55,123.4,,,,TRUE,NaN,v6,,,,
LWT-1,9/3/19 7:55,123.4,,,,TRUE,NaN,v6,,,,
EHR-1,9/3/19 8:41,114.4,,,,TRUE,NaN,v6,,,,
EHR-1,9/3/19 8:41,114.5,,,,TRUE,NaN,v6,,,,
EHR-1,9/3/19 8:41,114.6,,,,TRUE,NaN,v6,,,,
EER-1,9/3/19 8:44,114,,,,TRUE,NaN,v6,,,,
EER-1,9/3/19 8:44,114.9,,,,TRUE,NaN,v6,,,,
EER-1,9/3/19 8:44,114.8,,,,TRUE,NaN,v6,,,,
EWR-1,9/3/19 8:47,108.2,,,,TRUE,NaN,v6,,,,
EWR-1,9/3/19 8:47,109,,,,TRUE,NaN,v6,,,,
EWR-1,9/3/19 8:47,109.5,,,,TRUE,NaN,v6,,,,
EEF-1,9/3/19 8:54,76.5,,,,TRUE,NaN,v6,,,,
EEF-1,9/3/19 8:54,76.5,,,,TRUE,NaN,v6,,,,
EEF-1,9/3/19 8:54,76.2,,,,TRUE,NaN,v6,,,,
EHF-XB7S,9/3/19 8:56,52.5,,,,TRUE,NaN,v6,saturated,,,
EHF-XB7S,9/3/19 8:56,52.9,,,,TRUE,NaN,v6,,,,
EHF-XB7S,9/3/19 8:56,52.9,,,,TRUE,NaN,v6,,,,
EFF-XA2N,9/3/19 8:59,70.5,,,,TRUE,NaN,v6,,shade,"sedge green, few yellow tips",
EFF-XA2N,9/3/19 8:59,70.5,,,,TRUE,NaN,v6,,,,
EFF-XA2N,9/3/19 8:59,70.7,,,,TRUE,NaN,v6,,,,
EHT-XA5S,9/3/19 9:05,NaN,,,,FALSE,TRUE,nw,,hold logger at 9:10a,,
EET-2,9/3/19 9:08,145.2,,,,TRUE,NaN,v6,,muck at bottom,,
EET-2,9/3/19 9:08,145.5,,,,TRUE,NaN,v6,,,,
EET-2,9/3/19 9:08,145.8,,,,TRUE,NaN,v6,,,,
EHR-XB1N,9/3/19 9:25,135.5,,,,TRUE,NaN,v6,,,,
EHR-XB1N,9/3/19 9:25,135.2,,,,TRUE,NaN,v6,,,,
EHR-XB1N,9/3/19 9:25,135.5,,,,TRUE,NaN,v6,,,,
EHR-XB2N,9/3/19 9:27,52.8,,,,TRUE,NaN,v6,,,,
EWR-XB3N,9/3/19 9:29,81,,,,TRUE,NaN,v6,,,"willow green leaves, few yellow rust",
EWR-XB3N,9/3/19 9:29,81.3,,,,TRUE,NaN,v6,,,,
EWR-XB3N,9/3/19 9:29,81,,,,TRUE,NaN,v6,,,,
EWR-XB4N,9/3/19 9:31,76.7,,,,TRUE,NaN,v6,,,photo of willows at BN transect,
EWR-XB4N,9/3/19 9:31,76.8,,,,TRUE,NaN,v6,,,,
EWR-XB4N,9/3/19 9:31,76.9,,,,TRUE,NaN,v6,,,,
LHT-1,9/21/19 7:25,148,,,,FALSE,NaN,nw,,"10 cm of mud, at bottom",,
LET-1,9/21/19 7:29,96.5,,,,TRUE,NaN,v6,,,,
LET-1,9/21/19 7:29,96.4,,,,TRUE,NaN,v6,,,,
LET-1,9/21/19 7:29,96.3,,,,TRUE,NaN,v6,,,,
KHT-XD6N,9/21/19 8:12,NaN,,,,FALSE,NaN,nw,,,,
KER-1,9/21/19 8:16,97.1,,,,TRUE,NaN,v6,,,,
