term,estimate,std.error,conf.low,conf.up,,Rmin,Rmax,Ravg,Umin,Umax,Uavg
KHT-XE4S,28,NA,NA,NA,,,,,,,
KHT-XE5S,29,NA,NA,NA,,,,,,,
KHT-XE6S,30,NA,NA,NA,,,,,,,
KWF-1,31,NA,NA,NA,,,,,,,
KWF-XE8S,32,NA,NA,NA,,,,,,,
KWR-1,33,NA,NA,NA,,,,,,,
KWR-XE1N,34,NA,NA,NA,,,,,,,
KWT-1,35,NA,NA,NA,,,,,,,
LET-1,36,NA,NA,NA,,,,,,,
LHT-1,37,NA,NA,NA,,,,,,,
LWT-1,38,NA,NA,NA,,,,,,,
