term,estimate,std.error,conf.low,conf.up,,Rmin,Rmax,Ravg,Umin,Umax,Uavg,Qmin,Qmax,Qaverage
x0.X.Y21,65.86389666,9.873344941,46.51249617,85.21529715,,,,,,,,,,
x0.X.Y22,6.900794175,0.887368646,5.161583587,8.640004762,,,,,,,,,,
x0.X.Y23,94.45636817,81.65945169,-65.59321614,254.5059525,,,,,,,,,,
x0.X.Y24,80.37137451,96.19742451,-108.1721129,268.914862,,,,,,,,,,
x0.X.Y25,63.94489662,6.989311228,50.24609834,77.64369491,,,,,,,,,,
x0.X.Y26,58.82128355,7.219947993,44.67044552,72.97212159,,,,,,,,,,
x0.X.Y27,148.0042927,200.0766785,-244.1387913,540.1473767,,,,,,,,,,
x0.X.Y28,54.62910825,71.51761212,-85.54283577,194.8010523,,,,,,,,,,
x0.X.Y29,92.21828066,45.87431429,2.306276824,182.1302845,,,,,,,,,,
x0.X.Y30,82.28626119,143.2876286,-198.5523304,363.1248528,,,,,,,,,,
x0.X.Y31,20.47044862,101.4280815,-178.3249381,219.2658353,,,,,,,,,,
x0.X.Y32,70.63356989,117.3930786,-159.4526363,300.719776,,,,,,,,,,
x0.X.Y33,54.46004865,17.54466794,20.07313137,88.84696593,,,,,,,,,,
x0.X.Y34,55.64016729,11.20362076,33.6814741,77.59886049,,,,,,,,,,
x0.X.Y35,80.70983866,174.4991562,-261.3022227,422.7219001,,,,,,,,,,
x0.X.Y36,44.9561683,97.32031706,-145.7881481,235.7004847,,,,,,,,,,
x0.X.Y37,55.18072489,84.33711696,-110.1169869,220.4784367,,,,,,,,,,
x0.X.Y38,45.17818054,50.77178131,-54.33268226,144.6890433,,,,,,,,,,
EEF-1,1,NA,NA,NA,,,,,,,,,,
EEF-XA3S,2,NA,NA,NA,,,,,,,,,,
EER-1,3,NA,NA,NA,,,,,,,,,,
EER-XB4S,4,NA,NA,NA,,,,,,,,,,
EFF-XA2N,5,NA,NA,NA,,,,,,,,,,
EFR-XB1S,6,NA,NA,NA,,,,,,,,,,
EHF-XB7S,7,NA,NA,NA,,,,,,,,,,
EHR-1,8,NA,NA,NA,,,,,,,,,,
EHR-XB1N,9,NA,NA,NA,,,,,,,,,,
EHR-XB2N,10,NA,NA,NA,,,,,,,,,,
EWF-XA1N,11,NA,NA,NA,,,,,,,,,,
EWR-1,12,NA,NA,NA,,,,,,,,,,
EWR-XB3N,13,NA,NA,NA,,,,,,,,,,
EWR-XB4N,14,NA,NA,NA,,,,,,,,,,
EWT-1,15,NA,NA,NA,,,,,,,,,,
KEF-1,16,NA,NA,NA,,,,,,,,,,
KER-1,17,NA,NA,NA,,,,,,,,,,
KER-XD5N,18,NA,NA,NA,,,,,,,,,,
KER-XE3S,19,NA,NA,NA,,,,,,,,,,
KET-1,20,NA,NA,NA,,,,,,,,,,
KFR-XE1S,21,NA,NA,NA,,,,,,,,,,
KFR-XE2S,22,NA,NA,NA,,,,,,,,,,
KHF-1,23,NA,NA,NA,,,,,,,,,,
KHR-1,24,NA,NA,NA,,,,,,,,,,
KHR-XD1N,25,NA,NA,NA,,,,,,,,,,
KHR-XD1S,26,NA,NA,NA,,,,,,,,,,
KHT-XD6N,27,NA,NA,NA,,,,,,,,,,
KHT-XE4S,28,NA,NA,NA,,,,,,,,,,
KHT-XE5S,29,NA,NA,NA,,,,,,,,,,
KHT-XE6S,30,NA,NA,NA,,,,,,,,,,
KWF-1,31,NA,NA,NA,,,,,,,,,,
KWF-XE8S,32,NA,NA,NA,,,,,,,,,,
KWR-1,33,NA,NA,NA,,,,,,,,,,
KWR-XE1N,34,NA,NA,NA,,,,,,,,,,
KWT-1,35,NA,NA,NA,,,,,,,,,,
LET-1,36,NA,NA,NA,,,,,,,,,,
LHT-1,37,NA,NA,NA,,,,,,,,,,
LWT-1,38,NA,NA,NA,,,,,,,,,,
